"ELECTRICAL AND COMPUTER E Section","#","","Ave","A","","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","N","NR","Other"
"320
E C E","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"699
042","","2","3.750","","50.0","50.0","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"699
054","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"699
058","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"699
060","","1","","",".",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".","100.0",".","."
"699
062","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"699
066","","2","","",".",".","",".",".","",".","",".","",".",".","",".",".","",".",".","100.0",".",".","."
"Advanced Independent Study
Course Total","","19","3.882","","52.6","15.8","",".",".","",".","",".","",".","5.3","",".",".","",".",".","15.8","5.3","5.3","."
"Grad Cooperative Educ Program
702
001","","3","","",".",".","",".",".","",".","",".","",".",".","",".","100.0","",".",".",".",".",".","."
"712
001","","11","3.773","","72.7","18.2","",".","9.1","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"712
002","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"712
003","","3","4.000","","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"712
004","","2","","",".",".","",".",".","",".","",".","",".",".","",".",".","",".",".","100.0",".",".","."
"Solid State Power Conversn
Course Total","","17","3.833","","70.6","11.8","",".","5.9","",".","",".","",".",".","",".",".","",".",".","11.8",".",".","."
"Linear Systems
717
001","","30","3.500","","50.0","23.3","","20.0","3.3","",".","",".","","3.3",".","",".",".","",".",".",".",".",".","."
"Waves&Instabilities-Plasmas
724
001","","5","3.700","","40.0","60.0","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Probability&Stochastic Proc
730
001","","30","3.367","","30.0","20.0","","46.7",".","","3.3","",".","",".",".","",".",".","",".",".",".",".",".","."
"Adv Digital Signal Procesng
732
001","","32","3.594","","43.8","31.3","","25.0",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Signl Synthesis&Recvry Tech
735
001","","10","3.500","","40.0","20.0","","20.0","10.0","",".","",".","",".","10.0","",".",".","",".",".",".",".",".","."
"Electromagnetic Theory
740
001","","22","3.545","","36.4","40.9","","18.2","4.5","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Microwave Circuits&Devices
744
001","","12","3.792","","58.3","41.7","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Solid State Electronics
745
001","","17","4.000","","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Linear Waves
748
001","","9","4.000","","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Adv Computer Architecture I
752
001","","9","3.167","","11.1","11.1","","77.8",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Fault-Tolerant Computing
753
001","","27","3.519","","37.0","25.9","","33.3",".","",".","",".","",".",".","",".",".","",".",".",".","3.7",".","."
"VLSI Systems Design
755
001","","33","3.500","","33.3","33.3","","33.3",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"790
002","","1","","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"790
003","","2","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"790
004","","3","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"790
005","","9","","",".",".","",".",".","",".","",".","",".","77.8","",".",".","",".","22.2",".",".",".","."
"790
006","","5","","",".",".","",".",".","",".","",".","",".","60.0","",".",".","",".","40.0",".",".",".","."
"790
011","","5","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"790
015","","1","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"790
018","","7","","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"790
019","","3","","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"790
021","","1","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"790
022","","2","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"790
025","","4","","",".",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0",".",".",".","."
"790
028","","3","","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"790
029","","4","","",".",".","",".",".","",".","",".","",".","25.0","",".",".","",".","75.0",".",".",".","."
