"NEUROSCIENCE TRAINING PROG Section","#","","Ave","A","","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"682
NEUROSCI","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"523
001","","14","3.500","","71.4",".","",".","14.3","","14.3","",".","",".",".",".",".",".",".","",".",".",".","."
"523
001 301","","7","3.929","","85.7","14.3","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Neurobiology
Course Total","","21","3.643","","76.2","4.8","",".","9.5","","9.5","",".","",".",".",".",".",".",".","",".",".",".","."
"Cellular&Molecular Neurosci
610
001","","21","3.475","","33.3","33.3","","23.8",".","","4.8","",".","",".",".",".",".",".",".","",".",".","4.8","."
"675
001","","16","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"675
002","","8","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Special Topics
Course Total","","24","4.000","100.0","",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Senior Honors Thesis
682
034","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"Directed Study in Research
699
057","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"Prof Devlpmt-Biomed Grad Stdts
700
001","","13","","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"Sensory Mechanisms-Audition
735
001","","1","3.000","",".",".","100.0","",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Neurosci Smr:Current Topics
900
001","","44","4.000","","20.5",".","",".",".","",".","",".","",".","79.5",".",".",".",".","",".",".",".","."
"990
004","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
005","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"990
010","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
011","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
013","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
015","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
018","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
019","","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"990
020","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
024","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
026","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
031","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
032","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"990
036","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
038","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
042","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
043","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
048","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
051","","12","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
053","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
054","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
055","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
057","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
058","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
059","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Research and Thesis
Course Total","","42","","",".",".","",".",".","",".","",".","",".","90.5",".",".",".","9.5","",".",".",".","."
