"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"200
BIOCHEM","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"","299
010","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","299
018","","5","4.000","20.0",".",".",".",".","",".",".",".",".",".",".",".","80.0",".",".","."
"","299
022","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","299
039","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","299
045","","1","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"","299
051","","3","4.000","66.7",".",".",".",".","",".",".",".",".",".",".",".","33.3",".",".","."
"","299
053","","3","3.833","66.7","33.3",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","299
055","","2","4.000","50.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","50.0","."
"","299
057","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","299
059","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","299
060","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","299
063","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","299
066","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","299
068","","4","3.722","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","27","3.911","63.0","11.1",".",".",".","",".",".",".",".",".",".",".","22.2",".","3.7","."
"Coord Intrnshp/Cooprtv Educ","399
050","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Biochemistry","501
001","","234","3.235","28.6","17.5","32.9","7.7","10.7","",".",".","0.9",".",".",".",".","1.7",".",".","."
"General Biochemistry I","507
001","","157","3.034","31.2","11.5","21.0","10.8","15.3","","5.7","3.2",".",".",".",".",".","1.3",".",".","."
"Biochm Prin-Human&Anml Nutr","510
001","","10","3.150","10.0","20.0","60.0","10.0",".","",".",".",".",".",".",".",".",".",".",".","."
"","511
001","","18","3.861","77.8","16.7","5.6",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","511
002","","18","3.556","61.1","22.2","11.1",".",".","",".","5.6",".",".",".",".",".",".",".",".","."
"","511
003","","13","3.692","46.2","46.2","7.7",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","Course Total","","49","3.704","63.3","26.5","8.2",".",".","",".","2.0",".",".",".",".",".",".",".",".","."
"Protein&Enzyme Struct&Funct","601
001","","66","3.200","18.2","21.2","53.0",".","4.5","",".","1.5",".",".",".",".",".",".",".","1.5","."
"Prokaryotic Molecular Biol","612
001","","24","3.229","25.0","20.8","41.7",".","12.5","",".",".",".",".",".",".",".",".",".",".","."
"Cellulr Signal Transductn Mech","630
001","","47","3.109","8.5","8.5","76.6","4.3",".","",".",".",".",".",".",".",".","2.1",".",".","."
"","651
001 302","","19","2.763","15.8","15.8","21.1",".","47.4","",".",".",".",".",".",".",".",".",".",".","."
"","651
001 301","","36","3.097","36.1","5.6","27.8","2.8","27.8","",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Methods","Course Total","","55","2.982","29.1","9.1","25.5","1.8","34.5","",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Techniques","660
001","","31","3.864","74.2","19.4","3.2",".",".","",".",".",".",".",".",".",".",".",".",".","3.2"
"Biophysical Chemistry","665
001 301","","5","3.600","60.0",".","40.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","681
022","","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
041","","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
042","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","681
046","","1","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"","681
051","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","681
055","","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
057","","2","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
058","","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
060","","2","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
063","","2","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
066","","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","681
068","","1","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","15","3.833","13.3","6.7",".",".",".","",".",".",".",".",".",".","73.3","6.7",".",".","."
"Senior Honors Thesis","682
067","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","691
018","","2","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","691
041","","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","Page 10 of 441",""
