"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"156
ANTHRO","","Grades","GPA","","","","","","","","","","","","","","","",""
"","104
001 303","20","3.525","40.0","25.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001 304","20","3.675","45.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001 308","20","3.450","45.0","15.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","104
001 318","18","3.417","27.8","33.3","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001 301","21","3.050","19.0","19.0","33.3",".","19.0","4.8",".",".",".",".",".",".","4.8",".",".","."
"","104
001 305","19","3.694","52.6","26.3","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","104
001 319","18","3.250","33.3","16.7","44.4",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","104
001 327","20","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001 322","22","3.705","54.5","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001 307","23","3.286","26.1","26.1","26.1",".","13.0",".",".","4.3",".",".",".",".",".",".",".","4.3"
"","104
001 321","18","3.667","61.1","16.7","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001 316","18","3.250","22.2","27.8","38.9",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","104
001 310","21","3.600","57.1","4.8","28.6","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"","104
001 314","20","3.447","20.0","45.0","30.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","104
001 320","20","3.250","5.0","45.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001 313","19","3.368","36.8","26.3","21.1","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","104
001 312","21","3.524","33.3","42.9","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001 317","18","2.833","5.6","11.1","38.9","33.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"","104
001 306","20","3.475","30.0","35.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
001 315","20","3.425","20.0","45.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","Course Total","555","3.403","34.1","26.3","29.4","3.8","3.8","0.4","0.5","1.3","0.2",".",".",".","0.2",".",".","0.2"
"","105
001 304","20","2.694","20.0","15.0","15.0","10.0","20.0",".","10.0",".",".",".",".",".",".",".",".","10.0"
"","105
001 306","21","2.381","9.5","4.8","28.6","4.8","19.0","23.8","9.5",".",".",".",".",".",".",".",".","."
"","105
001 303","20","2.684","10.0","20.0","15.0",".","40.0","10.0",".",".",".",".",".",".","5.0",".",".","."
"","105
001 305","24","2.630","12.5","4.2","33.3","8.3","16.7","16.7","4.2",".",".",".",".",".","4.2",".",".","."
"","105
001 301","17","2.441","11.8",".","29.4","5.9","29.4","17.6","5.9",".",".",".",".",".",".",".",".","."
"","105
001 302","22","2.909","22.7","4.5","31.8","13.6","27.3",".",".",".",".",".",".",".",".",".",".","."
"","105
001 307","23","2.478","8.7","17.4","30.4",".","17.4","13.0","13.0",".",".",".",".",".",".",".",".","."
"","105
001 308","24","2.438",".","20.8","25.0","8.3","25.0","12.5","8.3",".",".",".",".",".",".",".",".","."
"Intro Human Biology","Course Total","171","2.581","11.7","11.1","26.3","6.4","24.0","11.7","6.4",".",".",".",".",".","1.2",".",".","1.2"
"Human Biology Laboratory","106
001","20","3.400","45.0",".","50.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","112
001 304","24","3.458","41.7","33.3","12.5",".","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","112
001 303","22","3.568","50.0","27.3","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","112
001 302","23","3.543","47.8","30.4","8.7","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","112
001 301","21","3.310","52.4","19.0","14.3","4.8",".",".","9.5",".",".",".",".",".",".",".",".","."
"Principles of Archaeology","Course Total","90","3.472","47.8","27.8","12.2","4.4","4.4","1.1","2.2",".",".",".",".",".",".",".",".","."
"Fr/Soph Seminar in Anthro","120
001","10","3.600","20.0","80.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Variation","205
001","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","277
001 309","3","2.833",".",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","277
001 308","4","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"","277
001 305","4","2.625",".",".","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","277
001 303","3","2.500",".",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".","."
"","277
001 310","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","277
001 301","3","2.000",".",".",".",".","66.7","33.3",".",".",".",".",".",".",".",".",".","."
"","277
001 302","2","2.500",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".","."
"","277
001 307","2","3.000","50.0",".",".",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","277
001 306","4","3.125","50.0",".",".","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","277
001 304","3","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
