"Fall 2002-2003","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"778
POLI SCI","","Grades
GPA","","","","","","","","","","","","","","","","","","","","",""
"Interdis W Europ Studies Sm","804
001","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Qual Meth-Political Rsch","816
001","14
3.731","50.0","35.7","","7.1",".","",".","",".","",".","7.1",".",".",".",".","",".",".",".","."
"Topics: Anal-Political Data","818
001","5
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Mass Political Behavior","821
001","7
3.786","71.4","14.3","","14.3",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Concepts-Political Theory","831
001","18
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Political Economy","840
001","9
3.938","77.8","11.1","",".",".","",".","",".","",".",".",".",".",".",".","11.1","",".",".","."
"Field Smr-Comparative Politics","856
001","20
3.861","65.0","25.0","",".",".","",".","",".","",".",".",".",".",".",".","10.0","",".",".","."
"Intl Relations Theories","857
001","17
3.600","41.2","29.4","","11.8","5.9","",".","",".","",".",".",".",".",".",".","",".",".","11.8","."
"Challenges of Democratizatn","861
001","9
3.938","77.8","11.1","",".",".","",".","",".","",".","11.1",".",".",".",".","",".",".",".","."
"Supreme Court&Const-Am Pol","865
001","10
3.778","50.0","40.0","",".",".","",".","",".","",".",".",".",".",".",".","10.0","",".",".","."
"Global Environmentl Governance","866
001","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Topics in Political Science","900
001","21
3.786","57.1","42.9","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Seminar-American Politics","904
001","6
3.833","66.7","33.3","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","960
001","10
3.650","30.0","70.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","960
002","8
3.929","75.0","12.5","",".",".","",".","",".","",".","12.5",".",".",".",".","",".",".",".","."
"Smr-International Relations","Course Total","18
3.765","50.0","44.4","",".",".","",".","",".","",".","5.6",".",".",".",".","",".",".",".","."
"","990
002","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
004","3",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
005","4",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
006","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
009","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
012","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
015","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
016","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
017","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
019","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
020","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
021","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
023","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
024","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
027","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
028","3",".",".","",".",".","",".","",".","",".","33.3",".",".",".","66.7","",".",".",".","."
"","990
029","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
030","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
033","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
041","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
042","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
044","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
063","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
077","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
078","3",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
080","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
099","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"Research and Thesis","Course Total","42",".",".","",".",".","",".","",".","",".","11.9",".",".",".","88.1","",".",".",".","."
"","999
020","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","999
021","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","999
025","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","Page 316 of 441",""
