"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","N","NR","Other"
"604
AN SCI","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"","101
001 301","","27","3.278","25.9","7.4","63.0","3.7",".",".","",".",".",".",".",".",".",".",".",".","."
"","101
001 302","","31","3.306","29.0","16.1","41.9","12.9",".",".","",".",".",".",".",".",".",".",".",".","."
"Livestock Production","Course Total","","58","3.293","27.6","12.1","51.7","8.6",".",".","",".",".",".",".",".",".",".",".",".","."
"Biol&Apprec-Companion Anmls","200
001","","145","2.852","15.2","18.6","22.1","23.4","15.2","2.1","","3.4",".",".",".",".",".",".",".",".","."
"","299
002","","1","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"","299
003","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","299
013","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","299
029","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","299
035","","3","3.857","66.7","33.3",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","299
041","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","299
060","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","299
061","","3","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","299
063","","1","3.500",".","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","3.920","76.9","15.4",".",".",".",".","",".",".",".",".",".",".","7.7",".",".","."
"","301
001 302","","20","3.175","30.0","15.0","25.0","20.0","10.0",".","",".",".",".",".",".",".",".",".",".","."
"","301
001 301","","12","3.083","16.7","16.7","41.7","16.7","8.3",".","",".",".",".",".",".",".",".",".",".","."
"Physiol-Domestic&Lab Animal","Course Total","","32","3.141","25.0","15.6","31.3","18.8","9.4",".","",".",".",".",".",".",".",".",".",".","."
"Comparative Animal Nutritn","311
001","","24","3.000","25.0","8.3","25.0","25.0","12.5","4.2","",".",".",".",".",".",".",".",".",".","."
"","313
001","","7","3.214","28.6","28.6","14.3","14.3",".","14.3","",".",".",".",".",".",".",".",".",".","."
"","313
002","","1","3.500",".","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","8","3.250","25.0","37.5","12.5","12.5",".","12.5","",".",".",".",".",".",".",".",".",".","."
"Livestck Prod&Hlth-Ag Dvlpm","370
001 301","","6","3.417","33.3","33.3","16.7","16.7",".",".","",".",".",".",".",".",".",".",".",".","."
"Beef Cattle Production","431
001","","12","3.250","25.0","16.7","41.7","16.7",".",".","",".",".",".",".",".",".",".",".",".","."
"Animal Sciences Proseminar","435
001","","23","3.935","87.0","13.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Quantitative Genetics","610
001","","2","3.750","50.0","50.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
011","","1","3.000",".",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
032","","1","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"","699
036","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
061","","7","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
067","","1","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"Special Problems","Course Total","","11","3.889","72.7",".","9.1",".",".",".","",".",".",".",".",".",".","18.2",".",".","."
"","875
001","","11","4.000","90.9",".",".",".",".",".","",".","9.1",".",".",".",".",".",".",".","."
"","875
002","","12","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","23","4.000","95.7",".",".",".",".",".","",".","4.3",".",".",".",".",".",".",".","."
"Seminar in Animal Breeding","951
001","","8","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Endocrinlgy-Reprodctve Phys","954
001","","30","4.000","33.3",".",".",".",".",".","",".","66.7",".",".",".",".",".",".",".","."
"","990
003","","1","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
007","","1","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
013","","1","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
029","","2","",".",".",".",".",".",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
035","","2","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
036","","4","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
041","","3","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
060","","1","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
061","","1","",".",".",".",".",".",".","",".",".",".",".",".","100.0",".",".",".","."
"Research","Course Total","","16","",".",".",".",".",".",".","",".","81.3",".",".",".","18.8",".",".",".","."
