"Fall 2002-2003","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","","","",""
"CHEMICAL ENGINEERING","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"220
CH E","","Grades
GPA","","","","","","","","","","","","","","","","","","","",""
"","525
001","13
3.731","61.5","23.1","","15.4",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","525
002","2",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","525
003","1",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Macromolecular Hydrodynamcs","Course Total","16
3.731","50.0","18.8","12.5","",".","",".","",".","",".",".",".",".",".",".","18.8",".",".","."
"Polymer Sci & Technology","540
001","22
3.275","36.4","13.6","","18.2","9.1","","13.6","",".","",".",".",".",".",".",".","9.1",".",".","."
"Plastics & High Polymer Lab","541
001","3
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560
001","16
3.281","31.3","31.3","","12.5","12.5","","12.5","",".","",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","562
001","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","567
001","9
3.222","11.1","22.2","","66.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","599
001","4
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","599
002","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","599
003","4
3.750","75.0",".","","25.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","599
006","3
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","599
007","1",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","599
009","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","599
010","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","599
011","5
4.000","60.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".","40.0","."
"","599
012","4
3.727","75.0",".","","25.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","599
015","12
4.000","91.7",".","",".",".","",".","",".","",".",".",".",".",".",".","8.3",".",".","."
"","599
016","3
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","599
018","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","599
019","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","42
3.933","85.7",".","","4.8",".","",".","",".","",".",".",".",".",".",".","4.8",".","4.8","."
"Intmed Transport Phenomena","620
001","18
3.294","38.9",".","","44.4",".","","11.1","",".","",".","5.6",".",".",".",".",".",".",".","."
"Intmed Problems in ChE","660
002","21
3.310","23.8","42.9","","19.0",".","","14.3","",".","",".",".",".",".",".",".",".",".",".","."
"Adv Independent Studies","699
002","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Adv ChE Thermodynamic","710
001","18
3.444","38.9","33.3","","11.1","11.1","","5.6","",".","",".",".",".",".",".",".",".",".",".","."
"","790
001","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","790
002","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","790
007","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","790
011","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","790
018","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","7",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","890
001","4",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","890
002","8",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","890
003","7",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","890
005","6",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","890
007","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","890
008","7",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","890
009","4",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","890
010","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","890
011","6",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","890
012","5",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","890
013","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","890
014","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","890
015","3",".",".","",".",".","",".","",".","",".","66.7",".",".",".","33.3",".",".",".","."
"","890
016","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
