"ENGR PROFESSIONAL DEVELOP","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"348
E P D","","Grades","GPA","","","","","","","","","","","","","","","",""
"Contemp Iss-Engr Profession","101
001","240","3.764","56.7","38.8","4.2",".",".",".",".",".",".",".",".",".",".","0.4",".","."
"Technical Info Resources","151
001","19","3.737","78.9","10.5",".",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","155
001","19","3.447","42.1","21.1","26.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","155
002","20","3.676","40.0","35.0","10.0",".",".",".",".",".",".",".",".",".","15.0",".",".","."
"","155
003","19","3.750","52.6","36.8","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","155
004","20","3.100","10.0","35.0","45.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","155
005","21","3.643","52.4","28.6","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","155
006","18","3.583","55.6","11.1","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","155
007","19","2.947","10.5","10.5","36.8","42.1",".",".",".",".",".",".",".",".",".",".",".","."
"","155
008","19","3.158","21.1","21.1","36.8","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","155
009","20","3.158","20.0","20.0","25.0","30.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"","155
010","16","2.938","6.3","12.5","50.0","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"","155
011","20","3.175","20.0","30.0","15.0","35.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
012","21","3.452","33.3","42.9","14.3",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","155
013","18","3.639","44.4","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
014","19","3.559","26.3","52.6","5.3","5.3",".",".",".",".",".",".",".",".","10.5",".",".","."
"Basic Communication","Course Total","269","3.372","31.2","28.6","23.0","11.9","1.9","0.4","0.4",".",".",".",".",".","2.6",".",".","."
"","160
001 303","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 305","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 302","14","3.500","42.9","21.4","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 304","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 313","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 301","14","3.577","42.9","21.4","28.6",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","160
001 314","12","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 306","10","3.500","50.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","160
001 315","14","3.571","42.9","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 310","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 309","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 307","14","3.643","57.1","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 308","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 316","14","3.357","28.6","21.4","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Engineering","Course Total","181","3.644","54.1","23.8","18.2","2.8","0.6",".",".","0.6",".",".",".",".",".",".",".","."
"","199
009","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
019","2","3.333","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Freshman Independent Study","Course Total","3","3.500","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","20","3.789","65.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"","275
002","19","3.778","52.6","42.1",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","275
003","20","3.816","65.0","25.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Technical Presentations","Course Total","59","3.795","61.0","28.8","5.1",".",".",".",".",".",".",".",".",".","3.4",".","1.7","."
"Sophomore Independent Study","299
017","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330
001","4","4.000","50.0",".",".",".",".",".",".","25.0",".",".",".",".","25.0",".",".","."
"","330
002","7","3.200",".","57.1",".",".","14.3",".",".",".",".",".",".",".","28.6",".",".","."
"Basic Technical Japanese I","Course Total","11","3.429","18.2","36.4",".",".","9.1",".",".","9.1",".",".",".",".","27.3",".",".","."
"","374
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
