"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"424
GERMAN","","Grades","GPA","","","","","","","","","","","","","","","",""
"","101
002","21","3.119","23.8","4.8","52.4","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"","101
003","23","3.389","26.1","17.4","30.4",".","4.3",".",".","17.4",".",".",".",".","4.3",".",".","."
"","101
004","21","3.381","38.1","33.3","19.0","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","101
005","23","3.522","65.2","13.0","8.7","4.3","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","101
006","22","3.727","68.2","18.2","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","110","3.433","44.5","17.3","23.6","3.6","4.5",".","1.8","3.6",".",".",".",".","0.9",".",".","."
"","102
001","18","3.056","16.7","16.7","44.4","5.6","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
002","16","3.469","62.5","6.3","25.0",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","102
003","22","3.023","22.7","13.6","36.4",".","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"","102
004","19","3.944","84.2","10.5",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","75","3.351","45.3","12.0","26.7","1.3","9.3","2.7","1.3","1.3",".",".",".",".",".",".",".","."
"","111
002","13","3.208","38.5",".","30.8","7.7","7.7","7.7",".","7.7",".",".",".",".",".",".",".","."
"","111
003","8","3.000","37.5",".","12.5",".","37.5",".",".","12.5",".",".",".",".",".",".",".","."
"First Semester Dutch","Course Total","21","3.132","38.1",".","23.8","4.8","19.0","4.8",".","9.5",".",".",".",".",".",".",".","."
"","203
001","17","3.706","70.6","11.8","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","203
002","23","3.826","65.2","34.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","15","3.133","20.0","26.7","33.3",".","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","203
004","18","3.750","72.2","16.7","5.6",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","203
005","18","3.333","50.0","5.6","33.3","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","203
006","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
007","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","116","3.608","57.8","20.7","15.5","0.9","2.6","1.7","0.9",".",".",".",".",".",".",".",".","."
"","204
001","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","15","3.500","46.7","6.7","33.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","204
003","15","3.071","26.7","26.7","20.0",".","13.3",".","6.7","6.7",".",".",".",".",".",".",".","."
"","204
004","17","3.471","52.9","17.6","11.8","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","204
005","15","2.967","20.0","13.3","33.3","6.7","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"","204
006","14","3.192","21.4","21.4","35.7",".","14.3",".",".","7.1",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","87","3.304","36.8","18.4","25.3","3.4","10.3","1.1","1.1","3.4",".",".",".",".",".",".",".","."
"Third Semester Dutch","213
001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","14","3.429","21.4","50.0","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","221
003","14","3.143","28.6","21.4","35.7","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","221
004","14","3.429","42.9","21.4","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture I","Course Total","42","3.333","31.0","31.0","26.2","7.1","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture II","222
001","13","3.615","53.8","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","17","3.588","41.2","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
002","14","3.231","14.3","42.9","14.3","14.3","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"","225
003","20","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
004","18","3.722","72.2","5.6","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","225
005","19","3.342","31.6","26.3","31.6",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","225
007","19","3.684","36.8","63.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn I","Course Total","107","3.542","40.2","35.5","17.8","2.8","2.8",".",".","0.9",".",".",".",".",".",".",".","."
"","226
001","6","3.300","33.3","16.7","16.7",".","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"","226
001 301","6","3.167","50.0",".",".","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","12","3.218","41.7","8.3","8.3","16.7","16.7",".",".","8.3",".",".",".",".",".",".",".","."
"","226
002","4","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002 302","11","3.550","36.4","27.3","27.3",".",".",".",".",".",".",".",".",".","9.1",".",".","."
