"NUTRITIONAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"694
NUTR SCI","","Grades","GPA","","","","","","","","","","","","","","","",""
"","132
001","277","2.755","10.8","20.9","20.9","11.2","31.0","2.5","2.2","0.4",".",".",".",".",".",".",".","."
"","132
002","402","2.654","11.2","9.5","25.1","13.4","32.3","6.0","1.7","0.5",".",".",".",".","0.2",".",".","."
"","132
003","97","2.710","9.3","18.6","14.4","14.4","36.1","3.1",".","3.1","1.0",".",".",".",".",".",".","."
"Nutrition Today","Course Total","776","2.697","10.8","14.7","22.3","12.8","32.3","4.4","1.7","0.8","0.1",".",".",".","0.1",".",".","."
"Prof-Dietetics & Nutrition","200
001","69","",".",".",".",".",".",".",".",".",".","98.6",".",".",".",".","1.4","."
"","299
015","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
065","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative Animal Nutritn","311
001","6","3.000",".","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","332
001 301","2","2.500",".",".","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","332
001","67","3.115","23.9","22.4","28.4","9.0","9.0","1.5","3.0","1.5",".",".",".",".",".",".","1.5","."
"Human Nutritional Needs","Course Total","69","3.097","23.2","21.7","29.0","8.7","10.1","1.4","2.9","1.4",".",".",".",".",".",".","1.4","."
"","510
001 301","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","510
001","67","3.149","13.4","34.3","29.9","13.4","7.5","1.5",".",".",".",".",".",".",".",".",".","."
"Biochm Prin-Human&Anml Nutr","Course Total","69","3.174","15.9","33.3","29.0","13.0","7.2","1.4",".",".",".",".",".",".",".",".",".","."
"Intro Seminar in Nutrition","600
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Diet Design","626
001","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Nutrition: Vitamins","627
001","26","3.462","30.8","34.6","30.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition","631
001","51","3.250","19.6","29.4","31.4","5.9","7.8",".",".",".",".",".",".",".","2.0",".","3.9","."
"Clinical Nutri(Affiliation)","634
001 301","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Senior Honors Thesis","681
030","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
016","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691
015","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691
026","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Thesis-Nutrition","Course Total","2","4.000","50.0",".",".",".",".",".",".",".",".",".",".","50.0",".",".",".","."
"","699
005","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
046","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
005","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
015","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
065","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","5","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Nutrition","931
001","25","4.000","4.0",".",".",".",".",".",".","96.0",".",".",".",".",".",".",".","."
"","991
005","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","991
006","5","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","991
008","8","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","991
009","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","991
011","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","991
015","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","991
016","3","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","991
027","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","991
032","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","991
035","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","991
038","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","991
045","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","991
052","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 30 of 441",""
