"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"820
PSYCH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","160
001 305","9","3.167","22.2","33.3","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","160
001 312","15","3.133","46.7","13.3","6.7","13.3","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"","160
001 307","8","2.625",".","25.0","37.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".","."
"","160
001 320","10","2.800",".","20.0","50.0",".","30.0",".",".",".",".",".",".",".",".",".",".","."
"","160
001 313","14","2.786","21.4","21.4","14.3","7.1","21.4","7.1","7.1",".",".",".",".",".",".",".",".","."
"","160
001 302","7","2.786","14.3","14.3","14.3","28.6","28.6",".",".",".",".",".",".",".",".",".",".","."
"","160
001 311","7","3.000","28.6",".","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"","160
001 306","7","2.929","14.3","14.3","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"","160
001 319","8","3.000","12.5","25.0","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","160
001 315","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 303","8","2.938","25.0",".","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","160
001 318","6","2.917","16.7",".","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 309","9","3.222","44.4",".","11.1","44.4",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 304","9","2.833","33.3","22.2",".","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".","."
"","160
001 317","13","2.962","15.4","15.4","30.8","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","160
001 316","13","3.077","23.1","30.8","23.1","15.4",".",".","7.7",".",".",".",".",".",".",".",".","."
"","160
001 308","8","3.063","50.0",".",".","12.5","37.5",".",".",".",".",".",".",".",".",".",".","."
"","160
001 314","9","3.056","44.4","11.1","22.2",".",".","11.1","11.1",".",".",".",".",".",".",".",".","."
"","160
001 301","1","2.500",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 310","8","2.938","25.0","25.0","25.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","Course Total","176","2.989","26.1","16.5","20.5","18.8","12.5","1.7","4.0",".",".",".",".",".",".",".",".","."
"","202
001","332","2.757","14.8","19.6","12.3","19.3","22.6","8.4","2.7",".",".",".",".",".","0.3",".",".","."
"","202
002","340","2.844","18.8","18.8","12.9","19.1","21.2","5.9","2.4","0.6",".",".",".",".","0.3",".",".","."
"","202
003","369","2.720","14.4","14.1","16.3","14.9","29.0","9.5","1.1","0.3",".",".",".",".","0.5",".",".","."
"","202
004","338","2.804","17.5","18.0","15.7","13.9","24.6","7.4","2.4",".",".",".",".",".","0.3",".","0.3","."
"","202
005","341","3.379","42.5","17.0","22.0","7.9","7.0","1.8","0.3","0.6",".",".",".",".","0.3",".","0.6","."
"","202
030","20","2.632","15.0","10.0","10.0","10.0","35.0","15.0",".",".",".",".",".",".",".","5.0",".","."
"Introduction to Psychology","Course Total","1740","2.895","21.4","17.4","15.8","14.9","21.1","6.7","1.7","0.3",".",".",".",".","0.3","0.1","0.2","."
"","210
001 304","15","2.733","20.0","6.7","20.0","6.7","40.0","6.7",".",".",".",".",".",".",".",".",".","."
"","210
001 301","14","3.045","28.6","14.3","14.3","7.1","7.1",".","7.1",".",".",".",".",".","21.4",".",".","."
"","210
001 303","11","2.045","9.1","9.1","9.1",".","36.4","18.2","18.2",".",".",".",".",".",".",".",".","."
"","210
001 302","14","2.643",".",".","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","54","2.627","14.8","7.4","25.9","7.4","27.8","5.6","5.6",".",".",".",".",".","5.6",".",".","."
"","210
003 309","18","2.194","11.1","5.6","22.2",".","44.4",".","16.7",".",".",".",".",".",".",".",".","."
