"COMPUTER SCIENCES","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"266
COMP SCI","","Grades
GPA","","","","","","","","","","","","","","","","","","","",""
"","899
066","4",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","899
067","3",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","899
082","3",".",".","",".",".","",".","",".","",".","66.7",".",".",".",".","33.3",".",".","."
"","899
085","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","899
086","3",".",".","",".",".","",".","",".","",".","33.3",".",".",".","66.7",".",".",".","."
"","899
087","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","899
092","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","899
095","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","899
097","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Pre-Dissertator Research","Course Total","60",".",".","",".",".","",".","",".","",".","93.3",".",".",".","5.0","1.7",".",".","."
"","990
003","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
010","3",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
012","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
013","5",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
014","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
016","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
017","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
034","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
036","3",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
045","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
061","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
065","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
066","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
067","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
082","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
087","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
092","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
095","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
097","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
098","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Dissertation","Course Total","31",".",".","",".",".","",".","",".","",".","96.8",".",".",".","3.2",".",".",".","."
"","999
010","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","999
013","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
020","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
036","3
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
067","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
087","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Indep Study & Research","Course Total","10
4.000","80.0",".","",".",".","",".","",".","",".","20.0",".",".",".",".",".",".",".","."
