"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"NEUROSCI","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","14","3.103","57.1","7.1",".","14.3","21.4","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","33","4.000","87.9",".",".",".",".","",".","",".","3.0","",".",".","",".","6.1","",".",".","3.0","."
"Undergraduates","48","3.692","79.2","2.1",".","4.2","6.3","",".","",".","2.1","",".",".","",".","4.2","",".",".","2.1","."
"Special","3","3.833","66.7","33.3",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","116","3.527","12.9","5.2","5.2",".",".","",".","",".","62.1","",".","11.2","",".","3.4","",".",".",".","."
"Prof Yr 2","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
