"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"224
CHEM","","Grades","GPA","","","","","","","","","","","","","","","",""
"","108
001 490 7","21","2.786","19.0","14.3","28.6","19.0","9.5",".","9.5",".",".",".",".",".",".",".",".","."
"","108
001 494 7","21","3.024","23.8","4.8","47.6",".","14.3","9.5",".",".",".",".",".",".",".",".",".","."
"","108
001 496 7","22","3.182","18.2","22.7","45.5","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","108
001 493 7","21","2.905","14.3","33.3","14.3","14.3","19.0",".","4.8",".",".",".",".",".",".",".",".","."
"","108
001 489 7","20","3.025","20.0","10.0","40.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","108
001 492 7","22","2.977","4.5","13.6","63.6","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","108
001 491 7","20","2.950","25.0","10.0","35.0","10.0","15.0",".","5.0",".",".",".",".",".",".",".",".","."
"","108
001 488 7","16","3.000","12.5","25.0","31.3","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","108
001 485 7","19","3.026","31.6","15.8","26.3",".","21.1",".","5.3",".",".",".",".",".",".",".",".","."
"","108
001 495 7","20","3.350","40.0","10.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","108
001 482 7","21","3.150","23.8","19.0","33.3",".","14.3","4.8",".",".",".",".",".",".","4.8",".",".","."
"","108
001 486 7","20","3.125","25.0","10.0","45.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","108
001 487 7","13","2.846","15.4","15.4","46.2",".","7.7","7.7","7.7",".",".",".",".",".",".",".",".","."
"","108
001 481 7","22","3.432","40.9","18.2","31.8","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"General Chemistry","Course Total","299","3.089","23.7","16.4","37.1","6.7","11.0","2.7","2.0",".",".",".",".",".","0.3",".",".","."
"","109
001 504 8","21","3.310","28.6","28.6","28.6","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","109
001 510 8","18","3.167","27.8","22.2","22.2","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"","109
001 509 8","18","2.861","16.7","22.2","22.2","16.7","16.7",".","5.6",".",".",".",".",".",".",".",".","."
"","109
001 512 8","18","3.222","22.2","27.8","33.3","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","109
001 513 8","20","3.075","15.0","30.0","25.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","109
001 514 8","18","3.139","16.7","22.2","38.9","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","109
001 515 8","21","3.262","33.3","28.6","14.3","4.8","19.0",".",".",".",".",".",".",".",".",".",".","."
