"NUCLEAR ENGR & ENGR PHYSIC Section","#","","Ave","A","","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"684
NEEP","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog
1
001","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"271
001 302 6","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"271
001 303 6","","6","2.750","",".","16.7","","33.3","33.3","","16.7","",".","",".",".",".",".",".",".",".",".",".","."
"271
001 304 6","","3","3.667","","66.7",".","","33.3",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"271
001 308 6","","2","2.750","",".",".","","50.0","50.0","",".","",".","",".",".",".",".",".",".",".",".",".","."
"271
001 305 6","","2","3.250","",".","50.0","","50.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"271
001 311 6","","4","3.000","",".","25.0","","50.0","25.0","",".","",".","",".",".",".",".",".",".",".",".",".","."
"271
001 314 6","","2","2.500","",".",".","","50.0",".","","50.0","",".","",".",".",".",".",".",".",".",".",".","."
"271
001 313 6","","2","3.250","",".","50.0","","50.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"271
001 312 6","","5","3.100","",".","40.0","","40.0","20.0","",".","",".","",".",".",".",".",".",".",".",".",".","."
"271
001 307 6","","4","3.125","",".","25.0","","75.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"271
001 309 6","","1","3.500","",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"271
001 306 6","","1","2.000","",".",".","",".",".","",".","100.0","","",".",".",".",".",".",".",".",".",".","."
"271
001 310 6","","2","3.500","","50.0",".","","50.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Engr Problem Solving I
Course Total","","35","3.071","","11.4","22.9","","42.9","14.3","","5.7","","2.9","",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Nuclear Engr
305
001","","16","3.067","","25.0","12.5","","31.3",".","","18.8","","6.3","",".","6.3",".",".",".",".",".",".",".","."
"Nuclear Reactor Theory
405
001","","3","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Nuclear Reactor Engineering
411
001","","8","2.750","",".","25.0","","37.5",".","","25.0","","12.5","",".",".",".",".",".",".",".",".",".","."
"Nuclear Instrumentation Lab
427
001 301","","4","2.500","",".","50.0","","25.0",".","",".","",".","","25.0",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas
525
001","","8","3.714","","37.5","50.0","",".",".","",".","",".","",".","12.5",".",".",".",".",".",".",".","."
"Lab Course in Plasmas
526
001","","6","3.625","","16.7","50.0","",".",".","",".","",".","",".",".",".",".",".",".","33.3",".",".","."
"Radiation Damage in Metals
541
001","","13","3.462","","38.5","30.8","","15.4","15.4","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis I
547
001","","15","3.567","","40.0","33.3","","26.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Adv Nuclear Power Engr
550
001","","8","3.500","","12.5","75.0","","12.5",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"699
006","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"699
011","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"699
018","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"699
020","","2","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study
Course Total","","6","4.000","","50.0",".","",".",".","",".","",".","",".","33.3",".",".",".",".","16.7",".",".","."
"Waves&Instabilities-Plasmas
724
001","","5","3.300","","40.0","20.0","",".","40.0","",".","",".","",".",".",".",".",".",".",".",".",".","."
"790
013","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"790
015","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Master's Research & Thesis
Course Total","","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
005","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
006","","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
010","","4","","",".",".","",".",".","",".","",".","",".",".",".",".",".","75.0",".",".","25.0","."
"890
011","","4","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
013","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
015","","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
016","","3","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
018","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
020","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"890
022","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"890
024","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Pre-Dissertator's Research
Course Total","","22","","",".",".","",".",".","",".","",".","",".","45.5",".",".",".","50.0",".",".","4.5","."
"Spec Topics-Plasma Physics
903
001","","9","3.393","",".","55.6","","33.3",".","",".","",".","",".","11.1",".",".",".",".",".",".",".","."
