"ENVIRONMENT, TEXTILES & DESI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","N","NR","Other"
"359
E T D","","Grades","GPA","","","","","","","","","","","","","","","","",""
"","120
001 306","20","3.225","30.0","35.0","15.0","10.0","5.0",".","5.0",".",".",".",".",".","",".",".",".","."
"","120
001 301","21","2.857","14.3","14.3","28.6","14.3","23.8","4.8",".",".",".",".",".",".","",".",".",".","."
"","120
001 302","23","2.870","13.0","21.7","21.7","13.0","30.4",".",".",".",".",".",".",".","",".",".",".","."
"","120
001 303","20","3.300","30.0","20.0","35.0","10.0",".","5.0",".",".",".",".",".",".","",".",".",".","."
"","120
001 304","18","2.861","16.7","27.8","5.6","33.3","11.1",".","5.6",".",".",".",".",".","",".",".",".","."
"","120
001 305","24","3.375","29.2","29.2","29.2","12.5",".",".",".",".",".",".",".",".","",".",".",".","."
"Design: Fundamentals I","Course Total","126","3.087","22.2","24.6","23.0","15.1","11.9","1.6","1.6",".",".",".",".",".","",".",".",".","."
"","153
001","17","3.156","23.5","11.8","35.3","17.6","5.9",".",".",".","5.9",".",".",".","",".",".",".","."
"","153
002","15","3.267","20.0","33.3","33.3","6.7","6.7",".",".",".",".",".",".",".","",".",".",".","."
"","153
003","14","2.750","7.1","7.1","42.9","14.3","21.4","7.1",".",".",".",".",".",".","",".",".",".","."
"Fabric & Apparel Structures I","Course Total","46","3.067","17.4","17.4","37.0","13.0","10.9","2.2",".",".","2.2",".",".",".","",".",".",".","."
"Fashion Illustration","210
001","14","3.286","35.7","7.1","42.9","7.1","7.1",".",".",".",".",".",".",".","",".",".",".","."
"Design: Fundamentals II","220
001 301","24","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","221
001 304","14","2.857","7.1","21.4","14.3","50.0","7.1",".",".",".",".",".",".",".","",".",".",".","."
"","221
001 303","20","2.875","10.0","20.0","25.0","25.0","20.0",".",".",".",".",".",".",".","",".",".",".","."
"","221
001 302","13","2.500",".","7.7","23.1","30.8","30.8","7.7",".",".",".",".",".",".","",".",".",".","."
"","221
001 301","17","2.765",".","17.6","35.3","29.4","5.9","11.8",".",".",".",".",".",".","",".",".",".","."
"","221
001 305","19","2.868","15.8","10.5","36.8","5.3","26.3","5.3",".",".",".",".",".",".","",".",".",".","."
"Inter Envir & Hum Behavior","Course Total","83","2.789","7.2","15.7","27.7","26.5","18.1","4.8",".",".",".",".",".",".","",".",".",".","."
"Interior Architect Design","223
001 301","27","3.093",".","40.7","40.7","14.8","3.7",".",".",".",".",".",".",".","",".",".",".","."
"Textile Design: Off-Loom","226
001","16","3.406","18.8","56.3","18.8",".","6.3",".",".",".",".",".",".",".","",".",".",".","."
"Textile Dsgn:Print & Dye I","227
001","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Textile Design:Structural I","228
002","14","3.321","7.1","50.0","42.9",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Textile Design: Weaving I","229
001","14","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Patternmaking-Apparel Design","253
001","15","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","299
004","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","299
008","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","299
032","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","299
033","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Independent Study","Course Total","4","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Design: Sketching&Rendering","320
001 301","16","3.625","68.8","6.3","12.5","6.3","6.3",".",".",".",".",".",".",".","",".",".",".","."
"","322
001 302","11","3.091","18.2","9.1","45.5","27.3",".",".",".",".",".",".",".",".","",".",".",".","."
"","322
001 301","16","3.156",".","43.8","43.8","12.5",".",".",".",".",".",".",".",".","",".",".",".","."
"Interior Design II","Course Total","27","3.130","7.4","29.6","44.4","18.5",".",".",".",".",".",".",".",".","",".",".",".","."
"CAD: Architecture&Interiors","323
001 301","15","3.433","46.7","6.7","33.3","13.3",".",".",".",".",".",".",".",".","",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327
001","11","3.450","9.1","63.6","18.2",".",".",".",".","9.1",".",".",".",".","",".",".",".","."
"Am Dec Arts & Int: 1620-1840","363
001","8","3.020","25.0","25.0","12.5",".","25.0","12.5",".",".",".",".",".",".","",".",".",".","."
"European Interiors to 18 C","421
001","52","3.210","26.9","19.2","30.8","5.8","9.6","3.8",".",".",".",".",".",".","","3.8",".",".","."
"Apparel Design II","425
001","13","3.231","38.5","23.1","23.1","7.7",".",".","7.7",".",".",".",".",".","",".",".",".","."
"Color Theory and Technology","451
001","15","3.214","26.7","26.7","6.7","26.7","6.7",".",".",".",".",".",".",".","","6.7",".",".","."
"Interdis Studies in the Arts","469
001","7","3.706","71.4",".","14.3","14.3",".",".",".",".",".",".",".",".","",".",".",".","."
"","501
001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","501
002","4","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","501
003","33","3.788","75.8","9.1","12.1","3.0",".",".",".",".",".",".",".",".","",".",".",".","."
"","501
004","6","2.200","16.7",".",".","33.3","16.7",".","16.7","16.7",".",".",".",".","",".",".",".","."
"","501
006","10","3.150",".","70.0",".","20.0","10.0",".",".",".",".",".",".",".","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","Page 147 of 441",""
