"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"612
M E","","Grades","GPA","","","","","","","","","","","","","","","",""
"","307
006","22","3.591","45.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","13","3.115","15.4","7.7","61.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","98","3.286","24.5","26.5","34.7","10.2","4.1",".",".",".",".",".",".",".",".",".",".","."
"","313
001 304","13","3.154",".","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001 303","13","2.923","7.7","7.7","46.2","38.5",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001 302","13","2.962","7.7","38.5","38.5",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","313
001 301","12","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","51","3.108","11.8","29.4","39.2","15.7","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"","313
002 307","14","3.214","21.4","28.6","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","313
002 305","10","3.350","30.0","10.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002 306","12","3.542","25.0","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002 308","12","2.750","8.3","25.0","16.7","8.3","33.3","8.3",".",".",".",".",".",".",".",".",".","."
"","Section Total","48","3.208","20.8","31.3","29.2","6.3","10.4","2.1",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","99","3.157","16.2","30.3","34.3","11.1","6.1","1.0","1.0",".",".",".",".",".",".",".",".","."
"","314
001 301","13","3.346","15.4","38.5","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","314
001 302","12","3.083",".","50.0","25.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".","."
"","314
001 303","13","2.692",".","15.4","53.8","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".","."
