"BACTERIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"192
BACT","","Grades","GPA","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","98","2.832","9.2","18.4","28.6","21.4","15.3","6.1","1.0",".",".",".",".",".",".",".",".","."
"","102
001","40","3.225","10.0","37.5","40.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","37","3.432","27.0","37.8","29.7","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","77","3.325","18.2","37.7","35.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","299
006","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
008","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
012","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
014","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
018","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
035","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
053","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
072","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
076","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiology","303
001","265","2.732","15.5","11.3","21.1","13.2","32.1","4.5","1.5",".",".",".",".",".","0.4",".",".","0.4"
"","304
001","43","3.360","30.2","20.9","39.5","9.3",".",".",".",".",".",".",".",".",".",".",".","."
"","304
002","40","3.041","22.5","10.0","35.0","12.5","10.0",".","2.5",".",".",".",".",".",".",".",".","7.5"
"","304
003","41","3.211","17.1","26.8","41.5","2.4","2.4",".","2.4",".",".",".",".",".",".","2.4",".","4.9"
"Procaryotic Microbiol Lab","Course Total","124","3.212","23.4","19.4","38.7","8.1","4.0",".","1.6",".",".",".",".",".",".","0.8",".","4.0"
"Food Bacteriology Lab","324
001","12","3.167","25.0","33.3","8.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology","325
001","38","3.105","23.7","23.7","15.8","23.7","13.2",".",".",".",".",".",".",".",".",".",".","."
"","370
001 301","33","3.613","60.6","3.0","24.2","3.0","3.0",".",".",".",".",".",".",".","3.0","3.0",".","."
"","370
001 302","11","3.500","45.5","9.1","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bacterial Genetics","Course Total","44","3.583","56.8","4.5","29.5","2.3","2.3",".",".",".",".",".",".",".","2.3","2.3",".","."
"Coord Intrnshp/Cooprtv Educ","399
073","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","56","2.811","19.6","8.9","28.6","5.4","21.4","7.1","3.6",".",".",".",".",".","1.8","3.6",".","."
"","527
001","14","2.917","7.1","21.4","28.6","7.1","14.3","7.1",".",".",".",".",".",".","7.1","7.1",".","."
"","527
002","16","2.906","12.5","12.5","31.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","527
003","13","2.962","15.4","15.4","38.5","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","Course Total","43","2.927","11.6","16.3","32.6","16.3","14.0","4.7",".",".",".",".",".",".","2.3","2.3",".","."
"Immunology","528
001","47","2.638","19.1","4.3","36.2",".","25.5","6.4","8.5",".",".",".",".",".",".",".",".","."
"","607
001 302","22","3.341","13.6","50.0","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","607
001 301","11","3.409","18.2","45.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Microbial Genetics","Course Total","33","3.364","15.2","48.5","30.3","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","24","3.458","29.2","41.7","25.0",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Plant-Bacterial Interactns","622
001","8","3.286","25.0","25.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Gen Virology-Multiplication","640
001","42","3.146","19.0","21.4","38.1","7.1","9.5","2.4",".",".",".",".",".",".",".",".",".","2.4"
"Senior Honors Thesis","681
035","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
002","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691
066","1","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","691
09","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Thesis","Course Total","2","",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","50.0","."
"","699
006","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
015","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
035","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","Page 7 of 441"
