"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"168
ART","","Grades","GPA","","","","","","","","","","","","","","","",""
"","102
001","18","3.222","50.0","16.7",".","16.7","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","102
002","19","3.211","26.3","21.1","31.6","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","102
003","22","3.905","86.4",".","9.1",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","102
004","22","3.775","72.7","4.5","9.1",".",".","4.5",".","4.5",".",".",".",".",".",".","4.5","."
"","102
005","19","3.750","63.2","15.8","15.8",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"","102
006","20","3.711","80.0","5.0","5.0",".",".",".","5.0",".",".",".",".",".",".","5.0",".","."
"Two-Dimensional Design","Course Total","120","3.604","64.2","10.0","11.7","4.2","3.3","0.8","1.7","0.8",".",".",".",".","0.8","1.7","0.8","."
"","104
001","17","3.353","35.3","47.1",".","11.8",".",".","5.9",".",".",".",".",".",".",".",".","."
"","104
002","16","3.533","31.3","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".","6.3",".","."
"","104
003","18","3.167","16.7","27.8","38.9","5.6",".","11.1",".",".",".",".",".",".",".",".",".","."
"","104
004","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","64","3.421","31.3","42.2","14.1","6.3",".","3.1","1.6",".",".",".",".",".",".","1.6",".","."
"","108
001 302","21","3.405","47.6","19.0","14.3","4.8",".","14.3",".",".",".",".",".",".",".",".",".","."
"","108
001 304","23","3.565","43.5","43.5","4.3",".",".","8.7",".",".",".",".",".",".",".",".",".","."
"","108
001 308","20","3.250","10.0","60.0","25.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","108
001 307","19","3.289","26.3","36.8","31.6",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","108
001 306","19","3.528","68.4","10.5",".","5.3",".","5.3","5.3",".",".",".",".",".",".","5.3",".","."
"","108
001 305","19","3.474","52.6","21.1","10.5",".","5.3","10.5",".",".",".",".",".",".",".",".",".","."
"","108
001 301","20","3.525","45.0","30.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","108
001 309","19","3.526","15.8","73.7","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","108
001 303","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Contemp Art","Course Total","178","3.483","41.6","36.0","12.9","1.7","1.1","4.5","1.7",".",".",".",".",".",".","0.6",".","."
"","112
001","17","2.824",".","29.4","41.2","17.6",".","5.9","5.9",".",".",".",".",".",".",".",".","."
"","112
002","22","2.750","18.2","9.1","27.3","13.6","18.2","9.1","4.5",".",".",".",".",".",".",".",".","."
