"SPANISH (SPANISH AND PORTU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"912
SPANISH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","101
001","14","2.962","42.9","14.3","7.1","7.1","7.1",".","14.3","7.1",".",".",".",".",".",".",".","."
"","101
002","18","3.250","27.8","22.2","27.8","16.7",".","5.6",".",".",".",".",".",".",".",".",".","."
"","101
003","23","3.095","30.4","26.1","17.4",".","4.3","4.3","8.7","4.3",".",".",".",".",".",".","4.3","."
"","101
004","18","3.139","44.4","16.7","11.1",".","11.1","11.1","5.6",".",".",".",".",".",".",".",".","."
"","101
005","22","3.455","45.5","13.6","31.8","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
006","23","3.326","30.4","34.8","17.4","4.3","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","101
007","22","3.205","27.3","31.8","22.7","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","101
008","23","3.413","34.8","34.8","17.4","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"","101
009","20","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
010","23","2.957","13.0","26.1","26.1","8.7","26.1",".",".",".",".",".",".",".",".",".",".","."
"","101
011","23","3.023","30.4","26.1","13.0","4.3","8.7","4.3","8.7","4.3",".",".",".",".",".",".",".","."
"","101
012","23","3.205","47.8","4.3","17.4","8.7","13.0",".","4.3",".",".",".",".",".","4.3",".",".","."
"","101
013","22","3.386","45.5","18.2","9.1","22.7",".","4.5",".",".",".",".",".",".",".",".",".","."
"","101
014","19","3.528","57.9","5.3","21.1",".","10.5",".",".",".",".",".",".",".",".","5.3",".","."
"","101
015","18","3.056","16.7","27.8","27.8","5.6","22.2",".",".",".",".",".",".",".",".",".",".","."
"","101
016","19","3.526","42.1","31.6","21.1",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","101
017","21","3.143","38.1","14.3","19.0","14.3","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"","101
018","19","3.526","42.1","31.6","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
019","21","3.262","47.6","23.8","14.3",".","4.8",".","9.5",".",".",".",".",".",".",".",".","."
"","101
020","20","3.350","45.0","10.0","25.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","101
021","22","3.341","31.8","18.2","40.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"First Year Spanish","Course Total","433","3.276","37.4","21.7","20.8","6.5","7.6","1.8","2.8","0.7",".",".",".",".","0.2","0.2","0.2","."
"","102
001","19","3.222","21.1","31.6","21.1","10.5","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"","102
002","19","3.000","15.8","21.1","21.1","21.1","10.5","5.3",".","5.3",".",".",".",".",".",".",".","."
"","102
003","24","3.125","20.8","16.7","41.7","8.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
004","21","3.310","23.8","33.3","33.3",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","102
005","16","3.344","31.3","25.0","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","102
006","21","3.024","28.6","4.8","33.3","9.5","19.0","4.8",".",".",".",".",".",".",".",".",".","."
"","102
007","20","2.625","10.0","15.0","30.0","20.0","5.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"","102
008","22","3.114","22.7","9.1","50.0","4.5","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"","102
010","22","2.750","4.5","9.1","45.5","18.2","4.5","4.5","4.5","9.1",".",".",".",".",".",".",".","."
"","102
011","20","3.275","35.0","15.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
013","21","2.925","9.5","4.8","52.4","19.0","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"","102
014","19","3.474","52.6","5.3","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
015","19","2.778","5.3","21.1","36.8","10.5","15.8",".","5.3","5.3",".",".",".",".",".",".",".","."
