"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"266
COMP SCI","","Grades","","GPA","","","","","","","","","","","","","","","",""
"Natural Lang & Computing","545
001","","5","3.750","60.0",".","20.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"","552
001","","23","3.119","8.7","26.1","34.8","21.7",".",".",".",".",".",".",".",".","4.3",".","4.3","."
"","552
002","","9","3.278","44.4","11.1","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","552
002 301","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","10","3.350","50.0","10.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","Course Total","","33","3.194","21.2","21.2","30.3","15.2","6.1",".",".",".",".",".",".",".","3.0",".","3.0","."
"","559
001 301","","6","3.250","16.7","50.0",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","559
001","","34","3.029","32.4","17.6","20.6","17.6","2.9",".","8.8",".",".",".",".",".",".",".",".","."
"Computer Graphics","Course Total","","40","3.063","30.0","22.5","17.5","20.0","2.5",".","7.5",".",".",".",".",".",".",".",".","."
"","564
001","","46","3.152","34.8","19.6","15.2","17.4","10.9",".","2.2",".",".",".",".",".",".",".",".","."
"","564
002","","49","3.166","20.4","20.4","32.7","14.3","4.1","2.0",".","6.1",".",".",".",".",".",".",".","."
"Database Mgt Systems","Course Total","","95","3.159","27.4","20.0","24.2","15.8","7.4","1.1","1.1","3.2",".",".",".",".",".",".",".","."
"Introduction to Bioinformatics","576
001","","32","3.300","34.4","21.9","15.6","9.4","9.4","3.1",".","6.3",".",".",".",".",".",".",".","."
"Introduction to Algorithms","577
001","","36","3.250","33.3","11.1","38.9","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Tools & Envirnmt-Optimizatn","635
001","","15","3.567","60.0","6.7","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Networks","640
001","","54","3.321","31.5","37.0","9.3","11.1","7.4",".","1.9",".",".",".",".",".",".",".","1.9","."
"","681
012","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
018","","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Honors Thesis","Course Total","","2","4.000","50.0",".",".",".",".",".",".",".",".",".",".","50.0",".",".",".","."
"Senior Honors Thesis","682
009","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
008","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","699
013","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
018","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
047","","2","3.500",".","50.0",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"Directed Study","Course Total","","15","3.955","73.3","6.7",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Construction of Compilers","701
001","","21","3.738","61.9","23.8","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of Software Artifacts","706
001","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Finite Difference Methods","712
001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Numerical Functional Anal","717
001","","8","3.500","62.5",".","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Network Flows","719
001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Progrmg Thry&Appl","726
001","","12","3.864","66.7","25.0",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Adv Artificial Intelligence","731
001","","17","3.559","52.9","41.2",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Advanced Operating Systems","736
001","","27","3.635","51.9","18.5","25.9",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Adv Computer Architecture I","752
001","","20","3.550","55.0","20.0","15.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"VLSI Systems Design","755
001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Database Mgt Systems","764
001","","19","3.711","47.4","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Vision","766
001","","20","3.765","55.0","20.0","10.0",".",".",".",".",".",".",".",".",".","15.0",".",".","."
"Computational Linguistics","771
001","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Algorithms&Data Structr","787
001","","31","3.967","93.5",".","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
005","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","790
012","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","790
017","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","Page 203 of 441",""
