"BUS","","","","","","","","","","","","","","","","","","","","",""
"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","N","NR","Other"
"231
GEN BUS","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"","765
003","25","3.731","40.0","4.0","4.0",".","4.0",".",".","32.0","",".",".",".","",".","12.0","4.0",".","."
"","765
004","17","3.765","64.7","23.5","11.8",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Contemporary Topics","Course Total","71","3.746","56.3","9.9","9.9",".","2.8",".",".","14.1","",".",".",".","",".","5.6","1.4",".","."
"231
GEN BUS","Dept. Total","1864","3.374","37.2","26.2","20.3","5.3","7.0","0.7","0.2","1.0","",".","1.3","0.1","",".","0.5","0.2",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","36","3.125","13.9","25.0","19.4","5.6","13.9",".",".",".","",".","22.2",".","",".",".",".",".","."
"Sophomore","","184","3.131","20.7","24.5","26.1","16.3","7.1","3.8",".",".","",".","1.6",".","",".",".",".",".","."
"Junior","","500","3.362","35.4","22.4","28.8","3.8","7.4","0.8",".","0.2","",".","1.0",".","",".",".","0.2",".","."
"Senior","","676","3.314","30.3","29.6","19.8","6.2","10.4","0.3","0.3","0.6","",".","1.2","0.3","",".","0.6","0.1",".","0.3"
"Undergraduates","","1396","3.303","30.4","26.2","23.9","6.7","9.0","0.9","0.1","0.4","",".","1.7","0.1","",".","0.3","0.1",".","0.1"
"Special","","28","3.324","35.7","17.9","10.7",".","14.3",".",".","21.4","",".",".",".","",".",".",".",".","."
"Graduate","","436","3.699","58.7","26.8","9.6","1.1","0.5",".","0.5","1.6","",".",".",".","",".","0.7","0.5",".","."
"Prof Yr 3","","4","4.000","50.0",".",".",".",".",".",".",".","",".",".",".","",".","50.0",".",".","."
"Professionals","","4","4.000","50.0",".",".",".",".",".",".",".","",".",".",".","",".","50.0",".",".","."
"","Dept. Total","1864","3.374","37.2","26.2","20.3","5.3","7.0","0.7","0.2","1.0","",".","1.3","0.1","",".","0.5","0.2",".","0.1"
