"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","N","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"103","001 302 6","","23","3.109","13.0","39.1","30.4","8.7","4.3",".","4.3","",".","",".",".","",".","",".",".",".",".","."
"103","001 311 6","","22","3.318","18.2","50.0","13.6","13.6","4.5",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 307 6","","22","3.182","22.7","22.7","31.8","13.6","9.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 305 6","","21","3.262","23.8","42.9","19.0","9.5",".",".","4.8","",".","",".",".","",".","",".",".",".",".","."
"103","001 308 6","","24","2.458",".","4.2","25.0","45.8","20.8",".","4.2","",".","",".",".","",".","",".",".",".",".","."
"103","001 304 6","","22","3.182","27.3","27.3","9.1","27.3","4.5","4.5",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 312 6","","23","3.304","17.4","52.2","4.3","26.1",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 306 6","","20","2.850","10.0","20.0","15.0","40.0","10.0","5.0",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 313 6","","20","2.925","10.0","25.0","25.0","20.0","15.0","5.0",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 315 6","","20","3.225","15.0","40.0","25.0","15.0","5.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 314 6","","22","2.952","13.6","18.2","13.6","45.5","4.5",".",".","",".","",".",".","",".","",".","4.5",".",".","."
"103","001 310 6","","23","3.370","34.8","30.4","8.7","26.1",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 309 6","","24","3.313","29.2","33.3","16.7","12.5","4.2","4.2",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 303 6","","20","2.925","20.0","15.0","15.0","30.0","15.0","5.0",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 316 6","","22","2.977","27.3","13.6","18.2","27.3","9.1",".","4.5","",".","",".",".","",".","",".",".",".",".","."
"103","001 301 6","","20","3.175","25.0","25.0","15.0","30.0","5.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Section Total","","348","3.097","19.3","28.7","17.8","24.4","6.9","1.4","1.1","",".","",".",".","",".","",".","0.3",".",".","."
"103","002 330 6","","23","3.109","34.8",".","39.1","4.3","21.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 323 6","","22","3.045","27.3","13.6","27.3","4.5","22.7","4.5",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 334 6","","23","2.870","21.7","13.0","30.4","4.3","26.1",".","4.3","",".","",".",".","",".","",".",".",".",".","."
"103","002 321 6","","23","2.804","26.1",".","26.1","4.3","26.1","17.4",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 332 6","","21","2.976","28.6","9.5","19.0","14.3","28.6",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 326 6","","21","3.214","28.6","23.8","28.6",".","19.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 325 6","","24","3.333","45.8","8.3","29.2",".","16.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 324 6","","21","2.905","28.6","4.8","9.5","33.3","14.3","9.5",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 333 6","","23","2.609","13.0","8.7","26.1","8.7","30.4","8.7","4.3","",".","",".",".","",".","",".",".",".",".","."
"103","002 331 6","","22","3.262","31.8","13.6","31.8","9.1","9.1",".",".","",".","",".",".","",".","",".",".","4.5",".","."
"103","002 336 6","","22","2.841","13.6",".","50.0","13.6","22.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 327 6","","21","2.929","19.0","14.3","23.8","19.0","23.8",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 322 6","","23","2.913","4.3","21.7","43.5","13.0","17.4",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 335 6","","22","2.636","13.6","4.5","31.8","13.6","31.8",".","4.5","",".","",".",".","",".","",".",".",".",".","."
"103","002 329 6","","23","3.239","26.1","21.7","34.8","8.7","8.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","002 328 6","","21","2.810","14.3",".","52.4",".","28.6","4.8",".","",".","",".",".","",".","",".",".",".",".","."
"","Section Total","","355","2.969","23.7","9.9","31.5","9.3","21.7","2.8","0.8","",".","",".",".","",".","",".",".","0.3",".","."
"103","003 342 6","","19","3.111","31.6",".","36.8","10.5","15.8",".",".","",".","",".",".","",".","",".",".",".","5.3","."
"103","003 353 6","","22","2.773","18.2","13.6","18.2","4.5","36.4","9.1",".","",".","",".",".","",".","",".",".",".",".","."
"103","003 346 6","","24","2.854","16.7","16.7","29.2","12.5","16.7","4.2","4.2","",".","",".",".","",".","",".",".",".",".","."
"103","003 354 6","","17","2.882","29.4",".","23.5","11.8","35.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","003 345 6","","20","3.300","35.0","15.0","35.0","5.0","10.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","003 355 6","","18","2.778","11.1","22.2","27.8","11.1","22.2",".","5.6","",".","",".",".","",".","",".",".",".",".","."
"103","003 344 6","","22","3.182","18.2","18.2","50.0","9.1","4.5",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","003 356 6","","21","3.048","19.0","9.5","47.6","9.5","9.5","4.8",".","",".","",".",".","",".","",".",".",".",".","."
"103","003 349 6","","21","3.214","42.9","9.5","19.0","4.8","23.8",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","003 351 6","","20","2.900","10.0","15.0","40.0","15.0","10.0","10.0",".","",".","",".",".","",".","",".",".",".",".","."
"103","003 352 6","","21","3.095","19.0","19.0","38.1","9.5","14.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","003 350 6","","22","2.795","13.6","9.1","40.9","13.6","4.5","13.6","4.5","",".","",".",".","",".","",".",".",".",".","."
"103","003 348 6","","22","3.136","18.2","27.3","36.4",".","18.2",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","003 347 6","","21","2.825","23.8","9.5","33.3","4.8","9.5","4.8","9.5","",".","",".",".","",".","",".",".",".","4.8","."
