"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"476
HORT","","Grades","","GPA","","","","","","","","","","","","","","","",""
"","120
001 301","","15","3.192","26.7","20.0","13.3","13.3","13.3",".",".",".",".",".",".",".","13.3",".",".","."
"","120
001 302","","22","3.091",".","45.5","31.8","18.2",".","4.5",".",".",".",".",".",".",".",".",".","."
"","120
001 303","","21","2.929","19.0","19.0","23.8","23.8","4.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"Survey of Horticulture","Course Total","","58","3.054","13.8","29.3","24.1","19.0","5.2","3.4","1.7",".",".",".",".",".","3.4",".",".","."
"","122
001 301","","17","3.265","47.1","5.9","17.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"","122
001 302","","8","3.357","37.5","25.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".","12.5","."
"Introductory Horticulture","Course Total","","25","3.292","44.0","12.0","12.0","12.0","16.0",".",".",".",".",".",".",".",".",".","4.0","."
"Turf Management","261
001 301","","15","3.071","13.3","26.7","20.0","26.7","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"","263
001 301","","5","3.300","40.0","20.0","20.0",".",".","20.0",".",".",".",".",".",".",".",".",".","."
"","263
002 301","","9","2.556","11.1",".","33.3",".","33.3","22.2",".",".",".",".",".",".",".",".",".","."
"Landscape Plants I","Course Total","","14","2.821","21.4","7.1","28.6",".","21.4","21.4",".",".",".",".",".",".",".",".",".","."
"","299
011","","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"","299
028","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
037","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
038","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Nutrient Managmnt:Turfgrass","332
001","","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Breeding&Biotechnolgy","338
001","","6","3.167","33.3","16.7",".","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"World Vegetable Crops","370
001 301","","8","3.833","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","25.0","."
"Special Topics","375
001","","22","3.947","77.3","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","4.5"
"","399
008","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
011","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
038","","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","5","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Turfgrass Mgmt & Physiol","461
002","","14","3.179","14.3","28.6","42.9","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Molec Approach-Crop Improvt","550
001","","17","3.353","23.5","35.3","35.3",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","571
001 313","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571
002 321","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571
002 323","","3","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571
002 322","","3","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","7","3.286",".","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","8","3.313",".","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
010","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
033","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
038","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Plant Breeding","957
001","","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
004","","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
005","","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
006","","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
008","","5","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
009","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
010","","4","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
011","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
012","","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
021","","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
