"EGR","","","","","","","","","","","","","","","","","","",""
"CIVIL AND ENVIRONMENTAL EN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"240
CIV ENGR","","Grades","GPA","","","","","","","","","","","","","","","",""
"Colloq-Trnsportatn Mgmt&Policy","970
001","5","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
002","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
024","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
031","3","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
038","2","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","990
039","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
051","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
054","4","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
055","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
057","2","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","990
059","2","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","990
061","5","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
062","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Thesis","Course Total","25","",".",".",".",".",".",".",".","56.0",".",".",".","44.0",".",".",".","."
"","999
024","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
038","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
061","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
062","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"240
CIV ENGR","Dept. Total","1276","3.355","37.1","15.0","21.3","5.6","4.9","1.6","0.5","5.3","0.2",".",".","7.2","1.0","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","",""
"Sophomore","","50","3.079","18.0","20.0","38.0","10.0","10.0","2.0",".",".",".",".",".",".","2.0",".",".","."
"Junior","","164","3.088","25.0","18.3","29.9","9.1","8.5","2.4","3.0",".",".",".",".",".","3.7",".",".","."
"Senior","","551","3.352","42.3","13.2","27.4","6.5","7.1","2.4",".",".",".",".",".",".","0.9","0.2",".","."
"Undergraduates","","765","3.279","37.0","14.8","28.6","7.3","7.6","2.4","0.7",".",".",".",".",".","1.6","0.1",".","."
"Special","","35","3.242","48.6","17.1","11.4","5.7",".","8.6","5.7","2.9",".",".",".",".",".",".",".","."
"Graduate","","476","3.607","36.6","15.1","10.3","2.9","1.1",".",".","14.1","0.4",".",".","19.3","0.2",".",".","."
"","Dept. Total","1276","3.355","37.1","15.0","21.3","5.6","4.9","1.6","0.5","5.3","0.2",".",".","7.2","1.0","0.1",".","."
