"Fall 2002-2003","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","",""
"PHILOSOPHY","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"736
PHILOS","","Grades
GPA","","","","","","","","","","","","","","","","","","","",""
"Ethics of Modern Biotechnology","565
001","11
3.588","45.5","27.3","","27.3",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior Honors Seminar","582
001","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Directed Study","599
061","1
3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","681
014","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","681
026","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
044","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Senior Honors Thesis","Course Total","3
4.000","33.3",".","",".",".","",".","",".","",".",".",".",".",".","66.7",".",".",".","."
"","799
008","5",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","799
095","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","6
4.000","16.7",".","",".",".","",".","",".","",".","83.3",".",".",".",".",".",".",".","."
"Advanced Hist of Philosophy","830
001","4
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Advanced History-Philosophy","835
001","8
3.857","62.5","25.0","",".",".","",".","",".","",".",".",".",".",".",".","12.5",".",".","."
"Smr-Philos of Language","916
001","6
3.800","66.7",".","","16.7",".","",".","",".","",".",".",".",".",".",".","16.7",".",".","."
"Smr-Philosophy of Science","920
001","12
4.000","58.3",".","",".",".","",".","",".","",".","8.3",".",".",".",".","33.3",".",".","."
"Smr-History of Philosophy","930
001","12
3.500",".","8.3","",".",".","",".","",".","",".",".",".",".",".",".","91.7",".",".","."
"Seminar-Ethics","941
001","11
3.813","54.5","9.1","","9.1",".","",".","",".","",".","27.3",".",".",".",".",".",".",".","."
"Smr-Philosophy of Religion","961
001","8
3.571","37.5","25.0","","25.0",".","",".","",".","",".",".",".",".",".",".","12.5",".",".","."
"","990
009","5",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
010","2",".",".","",".",".","",".","",".","",".","50.0","50.0",".",".",".",".",".",".","."
"","990
013","3",".",".","",".",".","",".","",".","",".","66.7","33.3",".",".",".",".",".",".","."
"","990
029","2",".",".","",".",".","",".","",".","",".","50.0",".",".",".",".","50.0",".",".","."
"","990
031","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
032","3",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
033","4",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
037","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
045","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
055","6",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
095","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","30",".",".","",".",".","",".","",".","",".","80.0","6.7",".",".","10.0","3.3",".",".","."
"Research-History of Philos","998
051","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","999
010","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","999
013","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
032","3
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
033","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
037","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","999
065","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Independent Work","Course Total","9
4.000","66.7",".","",".",".","",".","",".","",".","33.3",".",".",".",".",".",".",".","."
