"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"ANATOMY","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","14","3.321","50.0","7.1","21.4",".","21.4",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","5","2.875","40.0",".",".",".","20.0","40.0","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","20","3.225","50.0","5.0","15.0",".","20.0","10.0","",".",".","",".",".","",".",".","",".",".",".","."
"Special","2","4.000","50.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".","50.0","."
"Graduate","30","4.000","46.7",".",".",".",".",".","",".","36.7","",".",".","",".","16.7","",".",".",".","."
"Prof Yr 1","310","3.606","49.4","26.5","20.0","2.9","1.3",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","310","3.606","49.4","26.5","20.0","2.9","1.3",".","",".",".","",".",".","",".",".","",".",".",".","."
