"L&S","","","","","","","","","","","","","","","","","","","","",""
"LAFOLLETTE SCHOOL PUB AFF","Section","#","","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"826
PUB AFFR","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"Ethics&Values-Policy Making","530
001","","10","3.444","30.0","40.0",".","20.0",".","",".",".",".",".",".",".",".","10.0",".",".","."
"Economics of Health Care","548
001","","1","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Anal-Pol Data","551
001 302","","1","2.000",".",".",".",".",".","100.0","",".",".",".",".",".",".",".",".",".","."
"Regional Econ Prob Analysis","734
001","","3","2.000",".",".","66.7",".",".","",".","33.3",".",".",".",".",".",".",".",".","."
"","799
011","","26","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","799
012","","1","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","799
015","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","799
018","","1","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","","29","3.929","93.1","6.9",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Gender Issues-Intl Educ Policy","805
001","","2","3.250",".","50.0","50.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Energy Analys & Policy Smr","809
001","","3","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","818
001 302","","10","3.200","30.0",".","50.0","20.0",".","",".",".",".",".",".",".",".",".",".",".","."
"","818
001 301","","19","3.263","15.8","31.6","42.1","10.5",".","",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","29","3.241","20.7","20.7","44.8","13.8",".","",".",".",".",".",".",".",".",".",".",".","."
"","818
002 303","","19","3.079","15.8","26.3","47.4",".","5.3","",".","5.3",".",".",".",".",".",".",".",".","."
"Quant Tools-Pub Pol Analysis","Course Total","","48","3.177","18.8","22.9","45.8","8.3","2.1","",".","2.1",".",".",".",".",".",".",".",".","."
"Administrative Internship","827
001","","5","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"International Pub Pol & Mgmt","850
001","","14","3.536","35.7","35.7","28.6",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Global Environmentl Governance","866
001","","1","3.000",".",".","100.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Public Program Evaluation","871
001","","12","3.625","50.0","33.3","8.3","8.3",".","",".",".",".",".",".",".",".",".",".",".","."
"Policy-Making Process","874
001 301","","36","3.569","41.7","36.1","16.7","5.6",".","",".",".",".",".",".",".",".",".",".",".","."
"Public Personnel Adm","875
001","","16","3.813","68.8","25.0","6.3",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","880
001 303","","13","3.346","15.4","38.5","46.2",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","880
001 304","","9","3.389","22.2","33.3","44.4",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","880
001 302","","11","3.550","45.5","9.1","36.4",".",".","",".",".",".",".",".",".",".","9.1",".",".","."
"","880
001 301","","11","3.250","9.1","27.3","54.5",".",".","",".",".",".",".",".",".",".","9.1",".",".","."
"Microecon Policy Analysis","Course Total","","44","3.381","22.7","27.3","45.5",".",".","",".",".",".",".",".",".",".","4.5",".",".","."
"Benefit-Cost Analysis","881
001","","21","3.684","38.1","47.6","4.8",".",".","",".",".","9.5",".",".",".",".",".",".",".","."
"Advanced Public Management","885
001","","16","3.594","37.5","43.8","18.8",".",".","",".",".",".",".",".",".",".",".",".",".","."
"State & Local Govt Finance","891
001","","13","3.577","46.2","30.8","15.4","7.7",".","",".",".",".",".",".",".",".",".",".",".","."
