"HISTORY","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"448
HISTORY","","Grades
GPA","","","","","","","","","","","","","","","","","","","",""
"","990
031","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
033","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
035","3",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
037","3",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
038","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
041","3",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
042","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
043","4",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
045","4",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
046","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
048","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
049","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
050","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
051","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
052","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
081","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","93",".",".","",".",".","",".","",".","",".","52.7",".",".",".","47.3",".",".",".","."
"","999
004","2
4.000","50.0",".","",".",".","",".","",".","",".","50.0",".",".",".",".",".",".",".","."
"","999
005","2
4.000","50.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".","50.0","."
"","999
009","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","999
010","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
012","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
021","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
026","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
032","1",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","999
034","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
035","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
037","2",".",".","",".",".","",".","",".","",".","50.0",".",".",".",".","50.0",".",".","."
"","999
038","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","999
042","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
043","5
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
046","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
049","3
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
053","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Work","Course Total","30
4.000","70.0",".","",".",".","",".","",".","",".","20.0",".",".",".",".","6.7",".","3.3","."
