"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"266
COMP SCI","","Grades","GPA","","","","","","","","","","","","","","","",""
"A Taste of Computer Science","200
001","68","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"","240
001 302","4","2.000","25.0",".",".",".","50.0",".","25.0",".",".",".",".",".",".",".",".","."
"","240
001 305","13","2.385","15.4","7.7","23.1","7.7","15.4","15.4","15.4",".",".",".",".",".",".",".",".","."
"","240
001 304","4","1.250",".",".","25.0",".",".","25.0","50.0",".",".",".",".",".",".",".",".","."
"","240
001 303","7","2.429",".",".","42.9",".","42.9","14.3",".",".",".",".",".",".",".",".",".","."
"","240
001 306","9","2.389","22.2",".","11.1","11.1","33.3","11.1","11.1",".",".",".",".",".",".",".",".","."
"","240
001 301","5","2.625",".",".","40.0","20.0","20.0",".",".",".",".",".",".",".","20.0",".",".","."
"","240
001 307","8","2.750","12.5","12.5","25.0","12.5","12.5","25.0",".",".",".",".",".",".",".",".",".","."
"","240
001 308","7","2.786","28.6","14.3","28.6",".","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","Course Total","57","2.402","14.0","5.3","24.6","7.0","22.8","12.3","12.3",".",".",".",".",".","1.8",".",".","."
"","302
001 306","14","2.536","14.3","7.1","14.3","28.6","14.3","14.3","7.1",".",".",".",".",".",".",".",".","."
"","302
001 314","19","2.579","10.5","21.1","21.1","10.5","26.3",".","10.5",".",".",".",".",".",".",".",".","."
"","302
001 302","18","2.917","16.7","16.7","16.7","33.3","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","302
001 301","16","2.688","18.8","31.3",".","18.8","12.5","6.3","12.5",".",".",".",".",".",".",".",".","."
"","Section Total","67","2.687","14.9","19.4","13.4","22.4","16.4","6.0","7.5",".",".",".",".",".",".",".",".","."
"","302
002 313","20","2.711","20.0","15.0","30.0","10.0","5.0",".","15.0","5.0",".",".",".",".",".",".",".","."
"","302
002 307","15","2.600",".","26.7","26.7","13.3","20.0","6.7","6.7",".",".",".",".",".",".",".",".","."
"","302
002 311","17","2.531","11.8",".","17.6","17.6","23.5","23.5",".",".",".",".",".",".",".","5.9",".","."
"","302
002 312","17","2.912","23.5","11.8","23.5","5.9","29.4","5.9",".",".",".",".",".",".",".",".",".","."
"","Section Total","69","2.694","14.5","13.0","24.6","11.6","18.8","8.7","5.8","1.4",".",".",".",".",".","1.4",".","."
"","302
003","15","2.143","13.3","6.7","13.3","6.7","26.7","6.7","20.0",".",".",".",".",".",".","6.7",".","."
"","302
004","20","2.525","15.0","15.0","20.0",".","30.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"","302
005","18","2.667","16.7","22.2","11.1","22.2","5.6","11.1","11.1",".",".",".",".",".",".",".",".","."
"","302
007","18","2.472","16.7","11.1","22.2","16.7","11.1","5.6","16.7",".",".",".",".",".",".",".",".","."
"","302
008","15","2.567","13.3",".","26.7","33.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".","."
"","302
009","17","2.406","11.8","5.9","29.4",".","11.8","23.5","11.8",".",".",".",".",".",".","5.9",".","."
"","302
010","13","2.615","15.4","23.1",".","23.1","15.4","15.4","7.7",".",".",".",".",".",".",".",".","."
"","302
011","16","2.688","18.8","25.0",".","12.5","18.8","18.8","6.3",".",".",".",".",".",".",".",".","."
"","302
012","18","2.528","5.6","22.2","16.7","27.8","11.1","5.6","11.1",".",".",".",".",".",".",".",".","."
"","302
013","21","2.650","14.3","9.5","23.8","9.5","28.6","4.8","4.8",".",".",".",".",".",".","4.8",".","."
"","302
014","16","2.719","18.8","25.0","18.8","6.3","6.3","12.5","12.5",".",".",".",".",".",".",".",".","."
"","302
015","16","3.250","37.5","18.8","12.5","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"","302
019","10","2.400","20.0","10.0","20.0","10.0","10.0","10.0","20.0",".",".",".",".",".",".",".",".","."
"","302
020","7","2.286","28.6","14.3",".","14.3",".","14.3","28.6",".",".",".",".",".",".",".",".","."
"Introduction to Programming","Course Total","356","2.625","16.0","15.4","17.4","15.2","16.3","9.0","9.3","0.3",".",".",".",".",".","1.1",".","."
"","310
001 306 6","2","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001 307 6","3","2.833",".","33.3","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","310
001 306 6","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001 306 6","2","2.500",".",".","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","310
001 306 6","3","2.833",".",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001 307 6","1","2.500",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001 306 6","4","2.875",".",".","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001 306 6","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001 307 6","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001 307 6","3","2.667",".",".","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001 307 6","2","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001 307 6","5","3.400","40.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001 306 6","2","2.750",".",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001 308 6","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 200 of 441",""
