"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"600
MATH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","222
001 315","16","3.063","12.5","25.0","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","222
001 307","16","2.969","12.5","18.8","31.3","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","222
001 310","20","3.075","5.0","35.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001 308","20","2.775","5.0","25.0","20.0","20.0","25.0","5.0",".",".",".",".",".",".",".",".",".","."
"","222
001 302","18","2.889","5.6","22.2","38.9","11.1","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"","222
001 305","22","3.114","13.6","27.3","31.8","22.7",".","4.5",".",".",".",".",".",".",".",".",".","."
"","222
001 303","21","3.143","33.3","4.8","33.3","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","222
001 301","19","2.722","5.3","10.5","21.1","42.1","10.5","5.3",".",".",".",".",".",".","5.3",".",".","."
"","Section Total","171","2.938","11.7","21.6","28.7","22.2","9.9","4.1","1.2",".",".",".",".",".","0.6",".",".","."
"","222
002 328","23","3.022","30.4","17.4","17.4","13.0","8.7","8.7","4.3",".",".",".",".",".",".",".",".","."
"","222
002 327","22","2.295","13.6","9.1","22.7","4.5","22.7","9.1","18.2",".",".",".",".",".",".",".",".","."
"","222
002 321","16","2.406","18.8","18.8","12.5",".","12.5","18.8","18.8",".",".",".",".",".",".",".",".","."
"","222
002 329","21","2.143","4.8","14.3","19.0","4.8","23.8","14.3","19.0",".",".",".",".",".",".",".",".","."
"","222
002 324","18","2.361","5.6","22.2","22.2","5.6","16.7","11.1","16.7",".",".",".",".",".",".",".",".","."
"","222
002 323","23","2.696","21.7",".","34.8",".","30.4","8.7","4.3",".",".",".",".",".",".",".",".","."
"","222
002 322","22","2.795","13.6",".","50.0","4.5","18.2","13.6",".",".",".",".",".",".",".",".",".","."
