"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"740
PE ACTIV","","Grades","GPA","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","274","2.745","14.2","9.9","28.1","9.9","26.3","7.3","1.8","1.8",".",".",".",".",".","0.7",".","."
"","102
001","13","3.500","46.2",".","7.7","7.7","7.7",".",".","30.8",".",".",".",".",".",".",".","."
"","102
002","16","3.625","37.5","18.8","18.8",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","29","3.571","41.4","10.3","13.8","3.4","3.4",".",".","27.6",".",".",".",".",".",".",".","."
"","111
001","21","3.875","66.7","4.8",".","4.8",".",".",".","23.8",".",".",".",".",".",".",".","."
"","111
002","14","3.731","71.4","7.1","7.1",".",".","7.1",".","7.1",".",".",".",".",".",".",".","."
"","111
003","19","3.912","78.9","5.3","5.3",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","Course Total","54","3.848","72.2","5.6","3.7","1.9",".","1.9",".","14.8",".",".",".",".",".",".",".","."
"","125
001","14","4.000","14.3",".",".",".",".",".",".","71.4",".",".",".",".",".","7.1","7.1","."
"","125
002","22","4.000","22.7",".",".",".",".",".",".","63.6",".",".",".",".",".",".","13.6","."
"","125
003","21","4.000","23.8",".",".",".",".",".",".","76.2",".",".",".",".",".",".",".","."
"","125
004","19","4.000","15.8",".",".",".",".",".",".","68.4",".",".",".",".",".",".","15.8","."
"Adapted Fitness&Pers Traing","Course Total","76","4.000","19.7",".",".",".",".",".",".","69.7",".",".",".",".",".","1.3","9.2","."
"","127
001","22","3.400","9.1","40.9","13.6","4.5",".",".",".","31.8",".",".",".",".",".",".",".","."
"","127
003","21","3.607","28.6","23.8","14.3",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","127
004","22","3.214","9.1","27.3","13.6","9.1","4.5",".",".","36.4",".",".",".",".",".",".",".","."
"Bowling I","Course Total","65","3.407","15.4","30.8","13.8","4.6","1.5",".",".","33.8",".",".",".",".",".",".",".","."
"","129
001","15","3.818","46.7","26.7",".",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"","129
002","15","3.808","66.7","6.7","13.3",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","129
003","14","3.938","50.0","7.1",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","44","3.844","54.5","13.6","4.5",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","130
001","18","3.400","44.4","22.2","5.6",".","5.6",".","5.6","11.1","5.6",".",".",".",".",".",".","."
"","131
001","21","3.306","23.8","47.6",".","4.8","4.8",".","4.8","14.3",".",".",".",".",".",".",".","."
"","131
002","25","3.600","48.0","24.0","4.0",".",".",".","4.0","20.0",".",".",".",".",".",".",".","."
"","131
003","22","3.286","9.1","36.4","9.1",".","9.1",".",".","31.8","4.5",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","68","3.413","27.9","35.3","4.4","1.5","4.4",".","2.9","22.1","1.5",".",".",".",".",".",".","."
"","132
001","23","3.846","43.5","8.7","4.3",".",".",".",".","39.1",".",".",".",".",".","4.3",".","."
"","132
002","18","3.583","38.9","11.1","11.1",".","5.6",".",".","33.3",".",".",".",".",".",".",".","."
"","132
003","18","3.571","27.8","33.3","16.7",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","132
004","22","3.471","22.7","27.3","27.3",".",".",".",".","22.7",".",".",".",".",".",".",".","."
"","132
005","19","3.633","36.8","31.6","5.3","5.3",".",".",".","21.1",".",".",".",".",".",".",".","."
"","132
006","26","3.816","50.0","19.2","3.8",".",".",".",".","26.9",".",".",".",".",".",".",".","."
"","132
007","21","3.500","33.3","19.0","19.0",".","4.8",".",".","19.0",".",".",".",".","4.8",".",".","."
"","132
008","18","3.500","11.1","38.9","11.1",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"Weight Training","Course Total","165","3.620","33.9","23.0","12.1","0.6","1.2",".",".","27.9",".",".",".",".","0.6","0.6",".","."
"","133
001","19","3.389","36.8","21.1","26.3",".","5.3","5.3",".","5.3",".",".",".",".",".",".",".","."
"","133
002","14","3.375","42.9","21.4","14.3",".",".",".","7.1","14.3",".",".",".",".",".",".",".","."
"","133
003","14","3.636","28.6","42.9","7.1",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"","133
004","20","3.536","35.0","15.0","15.0",".","5.0",".",".","30.0",".",".",".",".",".",".",".","."
"","133
005","18","3.656","50.0","16.7","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","133
006","19","3.733","52.6","10.5","15.8",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","104","3.552","41.3","20.2","17.3",".","1.9","1.0","1.0","17.3",".",".",".",".",".",".",".","."
"","134
001","21","3.438","23.8","19.0","33.3",".",".",".",".","19.0",".",".",".",".",".","4.8",".","."
"","134
002","14","3.450","14.3","35.7","21.4",".",".",".",".","21.4",".",".",".",".",".","7.1",".","."
"","134
003","12","3.700","50.0","16.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","134
004","20","3.967","70.0","5.0",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","134
005","18","3.767","66.7","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".","16.7",".","."
