"L&S","","","","","","","","","","","","","","","","","","",""
"GEOLOGY & GEOPHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"420
GEOLOGY","","Grades","GPA","","","","","","","","","","","","","","","",""
"","990
009","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
010","4","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
011","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
012","5","",".",".",".",".",".",".",".","20.0",".",".",".","80.0",".",".",".","."
"","990
015","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
017","4","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
019","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
020","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
024","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
025","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
026","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
027","5","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Research","Course Total","52","",".",".",".",".",".",".",".","61.5",".",".",".","38.5",".",".",".","."
"Seminar: Geophysics","991
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"420
GEOLOGY","Dept. Total","1258","2.931","23.4","13.8","21.0","10.4","17.1","3.8","1.4","6.3",".",".",".","1.7","0.5","0.2","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","",""
"Freshmen","","308","2.769","18.8","13.0","24.0","11.7","25.6","5.2","1.3",".",".",".",".",".","0.3",".",".","."
"Sophomore","","295","2.810","18.6","16.3","24.4","11.9","20.3","5.1","2.7",".",".",".",".",".","0.3","0.3",".","."
"Junior","","239","2.992","25.1","16.3","25.9","11.7","17.2","2.5","0.4","0.4",".",".",".",".","0.4",".",".","."
"Senior","","219","2.948","24.2","13.7","21.0","14.2","15.5","5.0","1.8","1.4",".",".",".","0.9","0.9","0.5",".","."
"Undergraduates","","1061","2.864","21.3","14.8","23.9","12.3","20.2","4.5","1.6","0.4",".",".",".","0.2","0.5","0.2",".","."
"Special","","26","3.655","30.8","7.7","11.5",".",".",".",".","30.8",".",".",".",".",".","3.8","15.4","."
"Graduate","","171","3.735","35.1","8.2","4.1","0.6","0.6",".",".","39.2",".",".",".","11.7","0.6",".",".","."
"","Dept. Total","1258","2.931","23.4","13.8","21.0","10.4","17.1","3.8","1.4","6.3",".",".",".","1.7","0.5","0.2","0.3","."
