"SPANISH (SPANISH AND PORTU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"912
SPANISH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","203
003","23","2.913","4.3","26.1","34.8","17.4","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"","203
004","22","3.705","63.6","22.7","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","203
005","22","3.068","13.6","18.2","45.5","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"","203
006","21","3.452","33.3","33.3","28.6",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","203
007","23","3.239","26.1","21.7","34.8","8.7",".","8.7",".",".",".",".",".",".",".",".",".","."
"","203
009","22","3.500","45.5","27.3","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","203
010","20","2.875","5.0","40.0","25.0","5.0","20.0",".","5.0",".",".",".",".",".",".",".",".","."
"","203
011","22","3.182","40.9","13.6","22.7","4.5","13.6",".","4.5",".",".",".",".",".",".",".",".","."
"","203
012","21","3.000","14.3","23.8","28.6","14.3","19.0",".",".",".",".",".",".",".",".",".",".","."
"","203
014","20","3.250","25.0","30.0","30.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","203
015","17","3.000","17.6","5.9","47.1","5.9","11.8","5.9",".",".",".",".",".",".","5.9",".",".","."
"","203
016","21","2.976","9.5","33.3","23.8","9.5","19.0","4.8",".",".",".",".",".",".",".",".",".","."
"","203
017","20","2.842","5.0","25.0","20.0","25.0","15.0","5.0",".",".","5.0",".",".",".",".",".",".","."
"","203
018","20","2.800",".","30.0","30.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"","203
019","23","3.114","13.0","34.8","26.1","4.3","17.4",".",".",".",".",".",".",".","4.3",".",".","."
"","203
020","21","3.119","23.8","23.8","23.8","9.5","9.5","9.5",".",".",".",".",".",".",".",".",".","."
"","203
021","20","3.250","30.0","15.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","203
022","23","3.413","47.8","4.3","30.4","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"","203
023","20","3.000","35.0","10.0","20.0","10.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","203
024","24","3.271","16.7","29.2","50.0",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","203
025","20","3.100","10.0","20.0","55.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","203
026","20","3.500","45.0","20.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","203
027","21","3.286","33.3","14.3","38.1","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","203
028","20","3.275","25.0","45.0","20.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","203
029","19","3.395","31.6","15.8","52.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
030","22","3.262","22.7","40.9","22.7",".","4.5",".","4.5","4.5",".",".",".",".",".",".",".","."
"","203
031","20","3.375","25.0","30.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","203
034","18","2.882","11.1","22.2","22.2","11.1","27.8",".",".","5.6",".",".",".",".",".",".",".","."
"","203
035","17","3.000","11.8","29.4","29.4","5.9","23.5",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Spanish","Course Total","646","3.173","23.4","24.6","31.0","7.3","10.1","2.0","0.9","0.3","0.2",".",".",".","0.3",".",".","."
"","204
001","20","3.225","35.0","20.0","30.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","204
002","23","3.348","34.8","26.1","21.7","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","204
003","21","3.143","23.8","14.3","42.9","4.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"","204
004","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
005","23","3.386","43.5","8.7","26.1","13.0","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","204
006","23","3.391","26.1","34.8","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","204
009","20","2.917","15.0","10.0","25.0","25.0","5.0","10.0",".","5.0",".",".",".",".",".",".","5.0","."
"","204
010","22","3.159","36.4","4.5","40.9","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","204
011","22","2.905","4.5","27.3","22.7","27.3","13.6",".",".","4.5",".",".",".",".",".",".",".","."
"","204
012","24","3.174","12.5","29.2","41.7","4.2","8.3",".",".","4.2",".",".",".",".",".",".",".","."
"","204
013","24","2.478",".","4.2","41.7","12.5","25.0","8.3","4.2","4.2",".",".",".",".",".",".",".","."
"","204
014","20","3.425","50.0","10.0","25.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","204
015","19","3.263","26.3","21.1","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","204
016","23","3.043","21.7","13.0","43.5","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","204
017","17","3.559","47.1","23.5","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","204
018","21","3.333","23.8","38.1","23.8","9.5",".","4.8",".",".",".",".",".",".",".",".",".","."
"","204
019","21","3.643","47.6","33.3","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
020","22","3.000","9.1","9.1","72.7",".",".",".","4.5","4.5",".",".",".",".",".",".",".","."
"","204
021","17","3.156","29.4","17.6","35.3",".","5.9",".","5.9",".",".",".",".",".","5.9",".",".","."
