"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"SPANISH (SPANISH AND PORTU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"912
SPANISH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","204
022","19","2.868","21.1","15.8","21.1","21.1","5.3","10.5","5.3",".",".",".",".",".",".",".",".","."
"","204
023","24","3.396","45.8","29.2","12.5",".","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"","204
024","20","3.725","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","464","3.239","30.4","20.0","30.2","8.4","6.0","1.5","1.7","1.3",".",".",".",".","0.2",".","0.2","."
"","223
001 303","21","3.405","33.3","33.3","23.8",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","223
001 308","22","3.568","45.5","27.3","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","223
001 307","23","3.413","60.9","13.0","8.7",".","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"","223
001 306","22","3.023","22.7","22.7","27.3","9.1","9.1","4.5","4.5",".",".",".",".",".",".",".",".","."
"","223
001 301","21","3.524","42.9","47.6","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","223
001 305","18","3.139","33.3","16.7","22.2",".","27.8",".",".",".",".",".",".",".",".",".",".","."
"","223
001 302","20","3.575","55.0","15.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","223
001 304","25","3.320","36.0","28.0","24.0","4.0",".","4.0","4.0",".",".",".",".",".",".",".",".","."
"","Section Total","172","3.372","41.3","25.6","19.8","2.3","7.0","1.7","2.3",".",".",".",".",".",".",".",".","."
"","223
002","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hispanic Cultures","Course Total","186","3.409","43.5","25.8","18.3","2.2","6.5","1.6","2.2",".",".",".",".",".",".",".",".","."
"","224
001","20","3.775","70.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","22","3.545","45.5","22.7","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","224
003","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
004","23","3.818","60.9","34.8",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","224
005","21","3.525","47.6","19.0","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".","4.8"
"","224
006","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","224
007","18","3.639","38.9","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Hispanic Literatures","Course Total","149","3.728","61.1","24.2","11.4","1.3","0.7",".",".","0.7",".",".",".",".",".",".",".","0.7"
"","226
001","23","3.261","21.7","21.7","47.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","226
002","22","2.909","4.5","13.6","50.0","22.7","9.1",".",".",".",".",".",".",".",".",".",".","."
"","226
003","22","3.548","36.4","36.4","18.2","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"","226
004","22","2.477",".","9.1","36.4","31.8","9.1","4.5","9.1",".",".",".",".",".",".",".",".","."
"","226
005","23","3.543","43.5","21.7","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
006","23","3.152","26.1","13.0","52.2",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","226
007","23","2.913","8.7","21.7","30.4","21.7","17.4",".",".",".",".",".",".",".",".",".",".","."
"","226
008","21","3.333","33.3","28.6","23.8",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","226
010","22","3.447","22.7","31.8","31.8",".",".",".",".","9.1",".",".",".",".",".","4.5",".","."
