"Individual Research in Lit","Course Total","19","",".",".",".",".",".",".",".","52.6",".",".",".","47.4",".",".",".","."
"","991
001","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","991
010","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Linguistc&Germanic Philolgy","Course Total","4","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"424
GERMAN","Dept. Total","904","3.501","47.6","19.2","18.4","2.4","4.3","0.9","0.7","3.2",".","0.2",".","1.7","1.1","0.2",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","278","3.504","47.1","24.8","20.1","2.2","4.0","0.7","0.7",".",".",".",".",".","0.4",".",".","."
"Sophomore","","164","3.435","42.7","20.1","28.7","1.2","5.5","1.2","0.6",".",".",".",".",".",".",".",".","."
"Junior","","142","3.382","36.6","23.2","19.0","6.3","7.7","0.7",".","2.8",".",".",".",".","2.1","0.7",".","0.7"
"Senior","","139","3.484","46.0","19.4","18.0","2.2","5.0","1.4","0.7","4.3",".",".",".","1.4","1.4",".",".","."
"Undergraduates","","723","3.460","43.8","22.4","21.4","2.8","5.3","1.0","0.6","1.4",".",".",".","0.3","0.8","0.1",".","0.1"
"Special","","27","3.572","55.6","7.4","11.1","3.7",".",".","3.7","14.8",".",".",".",".",".","3.7",".","."
"Graduate","","154","3.787","63.6","6.5","5.2","0.6","0.6","0.6","0.6","9.7",".","1.3",".","8.4","2.6",".",".","."
"","Dept. Total","904","3.501","47.6","19.2","18.4","2.4","4.3","0.9","0.7","3.2",".","0.2",".","1.7","1.1","0.2",".","0.1"
