"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"GEOLOGY & GEOPHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"420
GEOLOGY","","Grades","GPA","","","","","","","","","","","","","","","",""
"","110
001 301","19","2.684","15.8",".","36.8",".","31.6","15.8",".",".",".",".",".",".",".",".",".","."
"","110
001 306","21","3.000","23.8",".","52.4",".","23.8",".",".",".",".",".",".",".",".",".",".","."
"","110
001 307","21","2.571","4.8",".","57.1",".","33.3",".","4.8",".",".",".",".",".",".",".",".","."
"","110
001 308","10","2.300",".",".","30.0",".","40.0","30.0",".",".",".",".",".",".",".",".",".","."
"","110
001 309","13","2.231","7.7",".","38.5",".","30.8","7.7","15.4",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","Course Total","186","2.622","9.7","0.5","44.6",".","36.0","6.5","1.6",".",".",".",".",".","1.1",".",".","."
"Volcanoes and Civilization","111
001","220","3.279","30.9","29.5","15.0","10.9","6.8","2.3","1.4","1.8",".",".",".",".","1.4",".",".","."
"Directed Study","199
004","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physics&Chem-Earth's Interior","302
001","14","3.143","21.4","35.7","14.3","7.1","21.4",".",".",".",".",".",".",".",".",".",".","."
"Fluids & Sedimentary Processes","303
001","34","3.103","20.6","20.6","29.4","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"","320
001 302","12","2.792","25.0",".","25.0","8.3","33.3","8.3",".",".",".",".",".",".",".",".",".","."
"","320
001 301","14","2.786","14.3",".","35.7","28.6","21.4",".",".",".",".",".",".",".",".",".",".","."
"Geomorphology","Course Total","26","2.788","19.2",".","30.8","19.2","26.9","3.8",".",".",".",".",".",".",".",".",".","."
"Minerals - A Public Problem","410
001","11","3.550","45.5","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".","9.1",".","."
"Energy Resources","411
001","7","3.643","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Landform Geography","524
001","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Invertebrate Paleontology I","540
001 301","15","3.071","26.7","13.3","20.0","13.3","20.0",".",".",".",".",".",".",".",".",".",".","."
"Applied Geophysics II","592
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594
001","11","3.136","18.2","36.4","18.2","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"Fld Meth-Appl&Engr Geophysics","595
001","9","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geochronology & Timescales","610
001","10","3.833","60.0","30.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","627
001 302","12","3.250","16.7","33.3","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","627
001 303","10","3.150","20.0","30.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"Hydrogeology","Course Total","22","3.205","18.2","31.8","31.8","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","691
011","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","691
017","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","691
023","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","Course Total","3","4.000","33.3",".",".",".",".",".",".",".",".",".",".","66.7",".",".",".","."
"","692
017","1","",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","692
025","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","692
028","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","Course Total","3","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quaternary Pollen Anal I","722
001","7","3.833","71.4",".","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Micropaleontology I","740
001 301","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electron Microprobe Anal","777
001 301","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
001","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","875
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Geology","Course Total","21","4.000","47.6",".",".",".",".",".",".","52.4",".",".",".",".",".",".",".","."
"Metallic Mineral Deposits","916
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glacial & Pleistocene Geol","920
001","5","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Seminar-Hydrogeology","929
001","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Seminar-Stratigraphy","930
001","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
004","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
005","5","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
008","4","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 237 of 441",""
