"LANGUAGES AND CULTURES OF Section","","","#","","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","N","NR","Other"
"910
LANGASIA","","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"Hist of Painting in India","443","001","","5","3.750","60.0",".","20.0",".","",".","",".",".",".","",".",".","",".","",".","20.0",".",".","."
"Fifth Semester Thai","446","001","","2","3.750","50.0","50.0",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Modern India, 1860-1990","450","001","","3","3.636","33.3","66.7",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Hist Southeast Asia to 1800","457","001","","3","3.500","33.3","33.3","33.3",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"2nd Year Literary Persian","508","001","","4","2.750","25.0","50.0",".",".","",".","",".","25.0",".","",".",".","",".","",".",".",".",".","."
"Tibetan Literature","531","001","","5","4.000","80.0",".",".",".","",".","",".",".","20.0","",".",".","",".","",".",".",".",".","."
"Structure of Thai","571","001","","5","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Studies-S Asian Religions","620","001","","6","3.667","66.7","16.7",".","16.7","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Proseminar","630","001","","8","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Politics of South Asia","651","001","","4","3.464","25.0","50.0","25.0",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","681","037","","1","",".",".",".",".","",".","",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","699","027","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","043","","2","",".",".",".",".","",".","",".",".",".","",".",".","",".","",".","100.0",".",".","."
"","699","047","","1","3.500",".","100.0",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","","Course Total","","4","3.625","25.0","25.0",".",".","",".","",".",".",".","",".",".","",".","",".","50.0",".",".","."
"","799","012","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","799","024","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","799","033","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","799","043","","1","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Independent Study","","Course Total","","4","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Civs of India-Modern Period","852","001 301","","2","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Topics in Indian Philosophy","863","001","","4","4.000","75.0",".",".",".","",".","",".",".",".","",".",".","",".","",".","25.0",".",".","."
"Smr-Lang & Lit of S Asia","873","001","","3","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Smr: Topics-Turkish Oral Narr","875","001","","2","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Smr:Interdis Approachs to Asia","915","001","","9","3.938","77.8","11.1",".",".","",".","",".",".",".","",".",".","",".","",".","11.1",".",".","."
"","990","003","","4","",".",".",".",".","",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","010","","1","",".",".",".",".","",".","",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","024","","2","",".",".",".",".","",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","027","","1","",".",".",".",".","",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","037","","2","",".",".",".",".","",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","042","","4","",".",".",".",".","",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","043","","2","",".",".",".",".","",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","044","","6","",".",".",".",".","",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","046","","2","",".",".",".",".","",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Research and Thesis","","Course Total","","24","",".",".",".",".","",".","",".",".","95.8","",".",".","",".","","4.2",".",".",".","."
"Individual Research","999","046","","18","",".",".",".",".","",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
