"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"350
ENGLISH","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"","300
003","","16","3.633","62.5",".","25.0","6.3",".","",".",".","6.3",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","","47","3.707","59.6","21.3","14.9","2.1",".","",".",".","2.1",".",".",".",".",".",".",".","."
"","301
001","","13","3.846","92.3",".",".",".","7.7","",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","16","3.800","56.3","37.5",".",".",".","",".",".",".",".",".",".",".","6.3",".",".","."
"","301
003","","16","3.929","75.0","12.5",".",".",".","",".",".",".",".",".",".",".","6.3","6.3",".","."
"","301
004","","12","3.792","66.7","25.0","8.3",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","301
005","","15","3.633","53.3","26.7","13.3","6.7",".","",".",".",".",".",".",".",".",".",".",".","."
"","301
006","","12","3.667","33.3","66.7",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Fiction Wrkshp","Course Total","","84","3.778","63.1","27.4","3.6","1.2","1.2","",".",".",".",".",".",".",".","2.4","1.2",".","."
"Intermediate Poetry Workshp","302
001","","12","3.708","41.7","58.3",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Advanced Fiction Workshop","303
001","","13","3.808","61.5","38.5",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Advanced Poetry Workshop","305
001","","12","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","307
001","","13","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","316
001","","13","3.769","53.8","46.2",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","316
002","","19","3.684","73.7","21.1",".",".",".","",".","5.3",".",".",".",".",".",".",".",".","."
"Smr-Writng Across Curriculm","Course Total","","32","3.719","65.6","31.3",".",".",".","",".","3.1",".",".",".",".",".",".",".",".","."
"Old English","320
001","","22","3.286","50.0","9.1","13.6","9.1","9.1","",".","4.5",".",".",".",".",".","4.5",".",".","."
"","324
001","","36","3.153","27.8","25.0","16.7","11.1","19.4","",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","28","3.375","17.9","53.6","17.9","7.1","3.6","",".",".",".",".",".",".",".",".",".",".","."
"Structure of English","Course Total","","64","3.250","23.4","37.5","17.2","9.4","12.5","",".",".",".",".",".",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","326
001","","11","",".",".",".",".",".","",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327
001","","15","",".",".",".",".",".","",".",".",".",".","100.0",".",".",".",".",".","."
"","328
001","","14","",".",".",".",".",".","",".",".",".",".","100.0",".",".",".",".",".","."
"","328
002","","14","",".",".",".",".",".","",".",".",".",".","100.0",".",".",".",".",".","."
"","328
003","","10","",".",".",".",".",".","",".",".",".",".","100.0",".",".",".",".",".","."
"","328
004","","11","",".",".",".",".",".","",".",".",".",".","100.0",".",".",".",".",".","."
"","328
005","","12","",".",".",".",".",".","",".",".",".",".","100.0",".",".",".",".",".","."
"","328
006","","8","",".",".",".",".",".","",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","Course Total","","69","",".",".",".",".",".","",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to the Syntax of English","329
001","","7","3.917","71.4","14.3",".",".",".","",".",".","14.3",".",".",".",".",".",".",".","."
"English Phonology","330
001","","22","3.421","40.9","18.2","22.7",".",".","",".","4.5",".",".",".",".",".","13.6",".",".","."
"English Dialects","331
001","","32","3.438","37.5","34.4","21.9","3.1",".","",".","3.1",".",".",".",".",".",".",".",".","."
"Eng 2nd Lang: Theory & Prac","334
001","","26","3.846","73.1","23.1","3.8",".",".","",".",".",".",".",".",".",".",".",".",".","."
"English in Society","336
001","","44","3.432","29.5","45.5","18.2","4.5",".","",".","2.3",".",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360
001","","37","3.125","21.6","21.6","24.3","18.9","8.1","","2.7",".",".",".",".",".",".",".","2.7",".","."
"Chaucer's Canterbury Tales","367
001","","35","3.456","31.4","31.4","28.6","5.7",".","",".",".",".",".",".",".",".","2.9",".",".","."
"Soph Honors: Rsch Meth-English","381
001","","17","3.647","47.1","47.1",".",".","5.9","",".",".",".",".",".",".",".",".",".",".","."
"Spenser","405
001","","32","2.439","15.6","6.3","9.4","12.5","15.6","","15.6","9.4",".",".",".",".",".","15.6",".",".","."
"Shakespeare","417
002","","36","3.563","19.4","11.1","13.9",".",".","",".",".",".",".",".",".",".","55.6",".",".","."
"","460
001","","36","3.456","30.6","30.6","27.8","5.6",".","",".",".",".",".",".",".",".","5.6",".",".","."
"","460
002","","31","3.323","29.0","38.7","16.1","12.9",".","",".","3.2",".",".",".",".",".",".",".",".","."
"English Novel: 19th Cent","Course Total","","67","3.392","29.9","34.3","22.4","9.0",".","",".","1.5",".",".",".",".",".","3.0",".",".","."
"Outstnd Figures-19c Eng Lit","467
002","","31","3.048","9.7","38.7","25.8","16.1","6.5","",".","3.2",".",".",".",".",".",".",".",".","."
"Jr Honors Seminar in Major","481
001","","12","3.667","58.3","16.7","25.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Maj Brit Novelists-1914-45","501
001","","38","3.526","52.6","31.6","10.5",".",".","",".","5.3",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","Page 222 of 441",""
