"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"350
ENGLISH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","201
009","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
010","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
011","16","3.219","43.8","31.3","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","150","3.446","40.7","30.7","16.7","7.3","1.3","0.7","2.0",".",".",".",".",".",".","0.7",".","."
"","203
001","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","17","3.559","47.1","29.4","17.6",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","203
003","16","3.250","18.8","31.3","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","203
004","14","3.393","7.1","78.6","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","203
005","17","3.353","47.1","23.5","17.6",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","203
006","18","3.806","77.8","5.6","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
007","16","3.219","31.3","25.0","12.5","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Creatv Writng:Beg Fict&Poet","Course Total","112","3.460","41.1","29.5","19.6","3.6","3.6","1.8","0.9",".",".",".",".",".",".",".",".","."
"","215
001 306","18","2.917","5.6","22.2","33.3","27.8","11.1",".",".",".",".",".",".",".",".",".",".","."
"","215
001 305","17","3.059","5.9","41.2","41.2","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"","215
001 304","16","3.125","6.3","37.5","31.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","215
001 303","19","3.000",".","47.4","21.1","5.3","21.1",".",".",".",".",".",".",".",".","5.3",".","."
"","215
001 302","20","3.125",".","45.0","40.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","215
001 301","20","3.175","10.0","35.0","40.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","110","3.069","4.5","38.2","34.5","13.6","7.3",".","0.9",".",".",".",".",".",".","0.9",".","."
"","215
002","30","2.983","20.0","10.0","40.0","6.7","16.7","6.7",".",".",".",".",".",".",".",".",".","."
"English Lit before 1800","Course Total","140","3.054","7.9","32.1","35.7","12.1","9.3","1.4","0.7",".",".",".",".",".",".","0.7",".","."
"","216
002","35","3.424","34.3","20.0","34.3","2.9","2.9",".",".",".",".",".",".",".","2.9",".","2.9","."
"","216
004 301","16","2.967",".","43.8","18.8","12.5","18.8",".",".","6.3",".",".",".",".",".",".",".","."
"","216
004 302","16","3.188","18.8","37.5","37.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","216
004 303","18","3.083","16.7","27.8","27.8","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"","216
004 305","19","3.211","21.1","21.1","42.1","10.5",".","5.3",".",".",".",".",".",".",".",".",".","."
"","216
004 306","18","3.111","22.2","27.8","27.8","16.7",".",".","5.6",".",".",".",".",".",".",".",".","."
"","216
004 307","15","3.000","6.7","13.3","46.7","13.3","6.7",".",".",".",".",".",".",".","13.3",".",".","."
"","Section Total","102","3.101","14.7","28.4","33.3","10.8","6.9","1.0","2.0","1.0",".",".",".",".","2.0",".",".","."
"English Lit 1800-Present","Course Total","137","3.166","19.7","26.3","33.6","8.8","5.8","0.7","1.5","0.7",".",".",".",".","2.2",".","0.7","."
"","217
001 308","17","3.188","23.5","11.8","35.3","23.5",".",".",".",".",".",".",".",".",".","5.9",".","."
"","217
001 302","21","3.381","28.6","28.6","38.1",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","217
001 304","19","3.389","26.3","31.6","31.6",".",".","5.3",".",".",".",".",".",".","5.3",".",".","."
"","217
001 301","19","3.289","26.3","21.1","42.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","217
001 305","18","3.176","22.2","27.8","33.3","5.6",".",".","5.6",".",".",".",".",".","5.6",".",".","."
"","217
001 306","16","3.433","25.0","37.5","25.0","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"","217
001 303","15","3.357","26.7","33.3","13.3","20.0",".",".",".",".",".",".",".",".","6.7",".",".","."
"","217
001 307","18","3.176","11.1","50.0","5.6","16.7","5.6","5.6",".",".",".",".",".",".","5.6",".",".","."
"American Lit 1620-Present","Course Total","143","3.299","23.8","30.1","28.7","9.1","1.4","2.1","0.7",".",".",".",".",".","3.5","0.7",".","."
"Shakespearean Drama","219
001","220","2.707","5.5","8.2","47.7","14.1","17.7","1.4","4.1","0.5",".",".",".",".","0.9",".",".","."
"","236
001","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236
003","16","3.375","50.0","12.5","31.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","236
004","15","3.267","40.0","20.0","13.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","Course Total","43","3.442","51.2","16.3","20.9","2.3","7.0",".","2.3",".",".",".",".",".",".",".",".","."
"Survey of Asian Americn Lit","270
001","34","3.531","35.3","38.2","11.8","8.8",".",".",".","2.9",".",".",".",".",".","2.9",".","."
"","300
001","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
