"ALS","","","","","","","","","","","","","","","","","","","","","","","","",""
"FOREST ECOLOGY AND MANAG Section","#","","Ave","A","","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"396
FOREST","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"699
018","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"699
021","","2","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Special Problems
Course Total","","10","3.964","","70.0","10.0","",".",".","",".","",".","",".","20.0",".",".",".",".","",".",".",".","."
"790
002","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"790
013","","5","4.000","","60.0",".","",".",".","",".","",".","",".",".",".",".",".",".","40.0","",".",".","."
"Special Problems
Course Total","","6","4.000","","66.7",".","",".",".","",".","",".","",".",".",".",".",".",".","33.3","",".",".","."
"875
001","","6","3.917","","83.3","16.7","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"875
005","","5","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Special Topics
Course Total","","11","3.955","","90.9","9.1","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Colloq-Forestry&Forest Prod
901
001","","9","3.875","","33.3","11.1","",".",".","",".","",".","",".","55.6",".",".",".",".","",".",".",".","."
"990
002","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
004","","4","","",".",".","",".",".","",".","",".","",".","25.0",".",".",".","75.0","",".",".",".","."
"990
006","","2","","",".",".","",".",".","",".","",".","",".",".","50.0",".",".","50.0","",".",".",".","."
"990
007","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
008","","3","","",".",".","",".",".","",".","",".","",".","33.3",".",".",".","66.7","",".",".",".","."
"990
009","","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"990
012","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"990
013","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
014","","4","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
015","","5","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
018","","3","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
020","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
021","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
023","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
024","","7","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Research and Thesis
Course Total","","39","","",".",".","",".",".","",".","",".","",".","74.4","2.6",".",".","23.1","",".",".",".","."
