"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"600
MATH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","221
002 325","21","2.333","9.5",".","19.0","9.5","57.1",".","4.8",".",".",".",".",".",".",".",".","."
"","221
002 323","21","2.857","28.6","4.8","19.0","4.8","42.9",".",".",".",".",".",".",".",".",".",".","."
"","221
002 327","14","2.577","7.1","7.1","28.6",".","50.0",".",".",".",".",".",".",".",".","7.1",".","."
"","Section Total","148","2.673","21.6","4.7","24.3","6.1","34.5","2.7","5.4",".",".",".",".",".",".","0.7",".","."
"","221
003","24","3.063","29.2","8.3","33.3","4.2","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","221
004 341","19","2.763","10.5","5.3","42.1","10.5","31.6",".",".",".",".",".",".",".",".",".",".","."
"","221
005 362","17","2.382",".","11.8","17.6","29.4","11.8","23.5","5.9",".",".",".",".",".",".",".",".","."
"","221
005 365","15","2.667","20.0","13.3","20.0","26.7","6.7",".","13.3",".",".",".",".",".",".",".",".","."
"","221
005 364","19","2.553","5.3","21.1","15.8","15.8","26.3","10.5","5.3",".",".",".",".",".",".",".",".","."
"","221
005 363","20","1.925","15.0","5.0","10.0","10.0","25.0","5.0","30.0",".",".",".",".",".",".",".",".","."
"","221
005 359","23","1.913",".",".","17.4","17.4","26.1","21.7","17.4",".",".",".",".",".",".",".",".","."
"","221
005 358","18","2.333","11.1",".","27.8","11.1","27.8","11.1","11.1",".",".",".",".",".",".",".",".","."
"","221
005 356","14","2.571","14.3",".","21.4","14.3","28.6","21.4",".",".",".",".",".",".",".",".",".","."
"","221
005 355","19","2.789","10.5","15.8","26.3","15.8","15.8","15.8",".",".",".",".",".",".",".",".",".","."
"","221
005 352","20","2.550","25.0","5.0","15.0","5.0","35.0","5.0","10.0",".",".",".",".",".",".",".",".","."
"","221
005 351","19","3.139","36.8",".","21.1","26.3","5.3","5.3",".","5.3",".",".",".",".",".",".",".","."
"","221
005 360","22","2.773","18.2","18.2","31.8",".","18.2","4.5","9.1",".",".",".",".",".",".",".",".","."
"","Section Total","206","2.493","14.1","8.3","20.4","15.0","20.9","11.2","9.7","0.5",".",".",".",".",".",".",".","."
"","221
006 384","15","2.233","20.0","20.0","6.7",".","26.7",".","26.7",".",".",".",".",".",".",".",".","."
"","221
006 371","21","2.810","19.0",".","52.4",".","23.8",".","4.8",".",".",".",".",".",".",".",".","."
"","221
006 372","20","2.775","30.0","5.0","30.0",".","15.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"","221
006 376","18","2.972","33.3","16.7","16.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".","."
"","221
006 378","19","2.921","36.8","5.3","15.8","10.5","21.1","5.3","5.3",".",".",".",".",".",".",".",".","."
"","221
006 380","20","2.575","15.0",".","35.0","5.0","40.0",".","5.0",".",".",".",".",".",".",".",".","."
"","221
006 382","17","2.559","5.9","29.4","11.8",".","47.1",".","5.9",".",".",".",".",".",".",".",".","."
"","221
006 374","17","3.265","35.3","29.4","11.8",".","23.5",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","147","2.772","24.5","12.2","23.8","4.8","24.5","2.0","8.2",".",".",".",".",".",".",".",".","."
"","221
007 404","19","2.263","10.5","10.5","15.8","10.5","26.3","10.5","15.8",".",".",".",".",".",".",".",".","."
"","221
007 391","21","2.810","23.8","9.5","23.8","9.5","23.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"","221
007 393","14","2.385","7.1","14.3","7.1","14.3","28.6","14.3","7.1",".",".",".",".",".","7.1",".",".","."
"","221
007 394","19","3.000","36.8","10.5","15.8","10.5","15.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"","221
007 397","19","2.667","15.8","15.8","10.5","15.8","10.5","21.1","5.3",".",".",".",".",".","5.3",".",".","."
"","221
007 398","16","2.438","18.8",".","12.5","12.5","12.5","37.5","6.3",".",".",".",".",".",".",".",".","."
"","221
007 399","16","2.969","25.0","18.8","12.5","12.5","25.0","6.3",".",".",".",".",".",".",".",".",".","."
"","221
007 400","15","2.533","13.3","13.3","13.3","13.3","40.0",".","6.7",".",".",".",".",".",".",".",".","."
"","221
007 401","21","2.833","19.0","9.5","28.6","4.8","28.6","9.5",".",".",".",".",".",".",".",".",".","."
"","221
007 402","18","2.176","5.6","11.1","16.7","11.1","22.2","11.1","16.7",".",".",".",".",".","5.6",".",".","."
"","Section Total","178","2.623","18.0","11.2","16.3","11.2","23.0","11.8","6.7",".",".",".",".",".","1.7",".",".","."
"","221
008 421","16","3.313","62.5",".","18.8",".","6.3","6.3","6.3",".",".",".",".",".",".",".",".","."
"","221
008 431","19","2.944","42.1",".","26.3",".","15.8",".","10.5","5.3",".",".",".",".",".",".",".","."
"","221
008 430","17","2.971","52.9",".","11.8","5.9","11.8","5.9","11.8",".",".",".",".",".",".",".",".","."
"","221
008 429","18","2.833","27.8","5.6","11.1","16.7","33.3","5.6",".",".",".",".",".",".",".",".",".","."
"","221
008 422","21","3.214","47.6","4.8","14.3","9.5","19.0","4.8",".",".",".",".",".",".",".",".",".","."
"","221
008 425","19","2.842","31.6","10.5","21.1","10.5","10.5","5.3","10.5",".",".",".",".",".",".",".",".","."
"","221
008 426","19","2.658","31.6","10.5",".","15.8","21.1","10.5","10.5",".",".",".",".",".",".",".",".","."
"","221
008 428","21","3.381","52.4","4.8","23.8","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","Section Total","150","3.023","43.3","4.7","16.0","8.0","16.0","5.3","6.0","0.7",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","1084","2.686","22.3","7.3","22.1","8.5","25.0","7.2","6.9","0.3",".",".",".",".","0.3","0.1",".","."
"","222
001 313","19","2.658","10.5","26.3","15.8","21.1","10.5","5.3","10.5",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 280 of 441",""
