"MED","","","","","","","","","","","","","","","","","","","","",""
"BIOMOLECULAR CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","N","NR","Other"
"758
BMOLCHEM","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","Dept. Total","414","3.390","25.1","13.8","24.2","3.6","2.4","0.2","0.7","26.8","",".",".","",".","2.7","0.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","22","2.955","13.6","18.2","45.5","9.1","4.5","4.5","4.5",".","",".",".","",".",".",".",".",".","."
"Junior","","35","3.250","25.7","25.7","31.4","11.4","5.7",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","","62","3.186","30.6","22.6","25.8","8.1","11.3",".","1.6",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","119","3.162","26.1","22.7","31.1","9.2","8.4","0.8","1.7",".","",".",".","",".",".",".",".",".","."
"Special","","10","2.667","20.0",".","60.0",".",".",".","10.0","10.0","",".",".","",".",".",".",".",".","."
"Graduate","","141","3.281","5.0","4.3","5.0","0.7",".",".",".","77.3","",".",".","",".","7.8",".",".",".","."
"Prof Yr 1","","143","3.528","44.8","16.8","35.0","2.1",".",".",".",".","",".",".","",".",".","1.4",".",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Professionals","","144","3.528","44.4","16.7","34.7","2.1",".",".",".","0.7","",".",".","",".",".","1.4",".",".","."
"","Dept. Total","414","3.390","25.1","13.8","24.2","3.6","2.4","0.2","0.7","26.8","",".",".","",".","2.7","0.5",".",".","."
