"EDUCATIONAL POLICY STUDIES Section","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"310
ED POL","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Introduction to Education","140
001","25","3.680","60.0","20.0","16.0","4.0",".","",".","",".",".",".",".",".",".",".",".",".","."
"","300
001","34","3.559","29.4","52.9","17.6",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","300
002","34","3.712","47.1","44.1","5.9",".",".","",".","",".",".",".",".",".",".","2.9",".",".","."
"","300
003","35","3.857","71.4","28.6",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","103","3.711","49.5","41.7","7.8",".",".","",".","",".",".",".",".",".",".","1.0",".",".","."
"Independent Reading","399
005","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","412
001 303","9","3.667","44.4","44.4","11.1",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","412
001 306","6","3.667","33.3","66.7",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","412
001 305","10","3.667","40.0","40.0","10.0",".",".","",".","",".",".",".",".",".",".","10.0",".",".","."
"","412
001 304","6","3.667","66.7",".","33.3",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","412
001 302","20","3.575","30.0","65.0",".",".","5.0","",".","",".",".",".",".",".",".",".",".",".","."
"","412
001 301","13","3.727","53.8","15.4","15.4",".",".","",".","",".",".",".",".",".",".","15.4",".",".","."
"History-American Education","Course Total","64","3.648","42.2","42.2","9.4",".","1.6","",".","",".",".",".",".",".",".","4.7",".",".","."
"Education in Western Europe","440
001","13","3.833","61.5","30.8",".",".",".","",".","",".",".",".",".",".",".","7.7",".",".","."
"Educ & Jewish Civilization","475
001","14","3.464","28.6","35.7","35.7",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Compar Hist-Chldhood&Adoles","478
001","3","3.167","33.3",".","33.3","33.3",".","",".","",".",".",".",".",".",".",".",".",".","."
"Issues in Urban Education","505
001","31","3.518","29.0","41.9","12.9","6.5",".","",".","",".",".",".",".",".",".","9.7",".",".","."
"Modern Philosophies of Ed","540
001","8","3.688","50.0","37.5","12.5",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Gender and Education","560
001","7","3.429","14.3","57.1","28.6",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Anthropology and Education","570
001","9","3.500","33.3","44.4",".",".","11.1","",".","",".",".",".",".",".",".","11.1",".",".","."
"The Sociol of School Org","635
001","18","3.794","55.6","38.9",".",".",".","",".","",".",".",".",".",".",".","5.6",".",".","."
"Sociology of Education","648
001","1","3.000",".",".","100.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
004","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
009","1","3.000",".",".","100.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
022","1","",".",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Independent Reading","Course Total","3","3.250",".","33.3","33.3",".",".","",".","",".",".",".",".",".",".","33.3",".",".","."
"Intro to Ed Policy Studies","701
001","15","",".",".",".",".",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Prosem-Soc Sci&Ed Pol Stdy","720
001","10","3.700","20.0","30.0",".",".",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"Gender Issues-Intl Educ Policy","805
001","15","3.700","66.7","20.0","6.7",".","6.7","",".","",".",".",".",".",".",".",".",".",".","."
"Issues-Elementary Education","855
001","6","4.000","83.3",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Theory & Meth in Compar Ed","860
001","7","4.000","85.7",".",".",".",".","",".","",".","14.3",".",".",".",".",".",".",".","."
"Prosem-History of Education","906
001","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
004","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
005","3","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
007","4","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
008","3","",".",".",".",".",".","",".","",".","33.3",".",".",".","66.7",".",".",".","."
"","990
022","4","",".",".",".",".",".","",".","",".","25.0",".",".",".","75.0",".",".",".","."
"","990
025","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
040","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
044","2","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
066","4","",".",".",".",".",".","",".","",".",".",".",".",".","75.0","25.0",".",".","."
"","990
073","2","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Research or Thesis","Course Total","25","",".",".",".",".",".","",".","",".","52.0",".",".",".","44.0","4.0",".",".","."
"","999
004","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
005","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","999
008","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","Page 91 of 441",""
