"BUS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRANSPORTATION AND PUBLIC  Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","N","NR","Other"
"243
TRAN P U","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"Public Utilities
325
001","","7","3.250","28.6",".","42.9","14.3","",".","",".","",".","14.3","",".",".","",".","",".","",".",".",".","."
"Public Utilities
725
001","","5","3.800","60.0","40.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"243
TRAN P U
Dept. Total","","12","3.500","41.7","16.7","25.0","8.3","",".","",".","",".","8.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.500","50.0",".","50.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","1","3.000",".",".","100.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","4","3.167","25.0",".","25.0","25.0","",".","",".","",".","25.0","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","7","3.250","28.6",".","42.9","14.3","",".","",".","",".","14.3","",".",".","",".","",".","",".",".",".","."
"Graduate","","5","3.800","60.0","40.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","12","3.500","41.7","16.7","25.0","8.3","",".","",".","",".","8.3","",".",".","",".","",".","",".",".",".","."
