"PHM","","","","","","","","","","","","","","","","","","",""
"PHARMACEUTICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"718
PHM SCI","","Grades","GPA","","","","","","","","","","","","","","","",""
"Conference-Research Workers","931
001","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
011","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
012","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
014","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
015","5","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
018","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
021","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
024","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"","990
029","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
032","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
038","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
047","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
048","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
063","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
076","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
077","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
082","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Research","Course Total","39","",".",".",".",".",".",".",".","56.4",".",".",".","43.6",".",".",".","."
"","999
014","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
015","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
048","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Advanced Independent Study","Course Total","9","4.000","22.2",".",".",".",".",".",".","11.1",".",".",".","66.7",".",".",".","."
"718
PHM SCI","Dept. Total","1786","3.188","29.0","17.0","23.0","13.0","6.7","1.1","0.2","1.5",".","6.8","0.2","1.3","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","3.083",".","42.9","14.3","28.6",".",".",".",".",".",".",".",".","14.3",".",".","."
"Sophomore","","69","3.217","15.9","29.0","39.1","14.5","1.4",".",".",".",".",".",".",".",".",".",".","."
"Junior","","115","3.310","33.0","24.3","23.5","15.7","0.9","0.9","0.9",".",".",".",".",".","0.9",".",".","."
"Senior","","145","3.321","37.9","17.9","20.7","15.9","2.1","0.7","1.4","2.1",".",".",".",".","1.4",".",".","."
"Undergraduates","","336","3.297","31.0","22.9","25.3","15.8","1.5","0.6","0.9","0.9",".",".",".",".","1.2",".",".","."
"Special","","6","3.333","33.3","33.3","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"Graduate","","160","3.722","55.6","7.5","6.9",".","1.3",".",".","14.4",".",".",".","14.4",".",".",".","."
"Prof Yr 1","","154","2.936","10.4","21.4","24.0","29.9","7.8","2.6",".",".",".","1.3","1.3",".","1.3",".",".","."
"Prof Yr 2","","746","3.175","31.9","12.3","18.5","10.1","9.9","1.1",".",".",".","16.1","0.1",".",".",".",".","."
"Prof Yr 3","","383","3.149","18.0","22.7","36.0","15.1","6.8","1.3",".",".",".",".",".",".",".",".",".","."
"Prof Yr 4","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1284","3.119","25.2","16.5","24.5","13.9","8.7","1.3",".",".",".","9.5","0.2",".","0.2",".",".","."
"","Dept. Total","1786","3.188","29.0","17.0","23.0","13.0","6.7","1.1","0.2","1.5",".","6.8","0.2","1.3","0.3",".",".","."
