"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"932
STAT","","Grades","GPA","","","","","","","","","","","","","","","",""
"","201
001 313","23","3.152","39.1","13.0","26.1",".","13.0","4.3","4.3",".",".",".",".",".",".",".",".","."
"","201
001 311","23","2.870","30.4","13.0","8.7","13.0","21.7","8.7","4.3",".",".",".",".",".",".",".",".","."
"","201
001 312","22","2.932","31.8",".","27.3","4.5","22.7","13.6",".",".",".",".",".",".",".",".",".","."
"","Section Total","68","2.985","33.8","8.8","20.6","5.9","19.1","8.8","2.9",".",".",".",".",".",".",".",".","."
"","201
002 322","21","3.333","33.3","28.6","14.3","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"","201
002 321","22","3.364","27.3","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002 323","23","3.364","39.1","21.7","17.4","4.3","13.0",".",".","4.3",".",".",".",".",".",".",".","."
"","Section Total","66","3.354","33.3","25.8","22.7","10.6","6.1",".",".","1.5",".",".",".",".",".",".",".","."
"Principles of Statistics","Course Total","134","3.165","33.6","17.2","21.6","8.2","12.7","4.5","1.5","0.7",".",".",".",".",".",".",".","."
"","224
001 313","23","3.370","21.7","43.5","26.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","224
001 312","24","3.208","25.0","20.8","33.3","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"","224
001 311","22","3.000","22.7","18.2","31.8","9.1","9.1","4.5","4.5",".",".",".",".",".",".",".",".","."
"","Section Total","69","3.196","23.2","27.5","30.4","8.7","7.2","1.4","1.4",".",".",".",".",".",".",".",".","."
"","224
002 322","25","2.980","20.0","12.0","28.0","24.0","12.0","4.0",".",".",".",".",".",".",".",".",".","."
"","224
002 321","23","2.870","8.7","34.8","17.4","17.4","17.4",".","4.3",".",".",".",".",".",".",".",".","."
"","224
002 323","24","3.146","29.2","12.5","25.0","25.0","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","Section Total","72","3.000","19.4","19.4","23.6","22.2","11.1","2.8","1.4",".",".",".",".",".",".",".",".","."
"","224
003 331","24","3.250","25.0","25.0","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","224
003 333","24","3.042","20.8","12.5","33.3","20.8","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","224
003 332","23","3.065","21.7","17.4","30.4","13.0","17.4",".",".",".",".",".",".",".",".",".",".","."
"","224
003 334","22","3.023","22.7","9.1","36.4","13.6","18.2",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","93","3.097","22.6","16.1","33.3","14.0","12.9","1.1",".",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","234","3.096","21.8","20.5","29.5","15.0","10.7","1.7","0.9",".",".",".",".",".",".",".",".","."
"","301
001 313","24","3.146","25.0","4.2","45.8","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001 314","26","3.080","15.4","7.7","53.8","15.4","3.8",".",".",".",".",".",".",".","3.8",".",".","."
"","301
001 312","26","3.280","38.5","11.5","19.2","19.2","7.7",".",".",".",".",".",".",".","3.8",".",".","."
"","301
001 311","25","2.854","24.0","16.0","16.0","20.0","8.0","4.0","8.0",".",".",".",".",".","4.0",".",".","."
"","Section Total","101","3.092","25.7","9.9","33.7","19.8","5.0","1.0","2.0",".",".",".",".",".","3.0",".",".","."
"","301
002 324","27","3.135","14.8","18.5","44.4","14.8","3.7",".",".",".",".",".",".",".","3.7",".",".","."
"","301
002 323","27","3.212","22.2","18.5","37.0","14.8","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"","301
002 322","23","3.152","43.5","4.3","13.0","17.4","21.7",".",".",".",".",".",".",".",".",".",".","."
"","301
002 321","26","3.096","23.1","3.8","46.2","23.1","3.8",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","103","3.149","25.2","11.7","35.9","17.5","7.8",".",".","1.0",".",".",".",".","1.0",".",".","."
"","301
003 333","24","3.348","45.8","16.7","12.5","16.7",".",".","4.2",".",".",".",".",".",".","4.2",".","."
"","301
003 331","22","3.250","36.4","22.7","4.5","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","301
003 332","26","3.327","53.8","3.8","26.9",".","11.5",".","3.8",".",".",".",".",".",".",".",".","."
"","Section Total","72","3.310","45.8","13.9","15.3","13.9","5.6","1.4","2.8",".",".",".",".",".",".","1.4",".","."
"","301
004 342","25","3.080","24.0","20.0","28.0","4.0","24.0",".",".",".",".",".",".",".",".",".",".","."
"","301
004 343","24","3.042","29.2","16.7","4.2","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","301
004 341","22","3.114","27.3","9.1","31.8","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","301
004 344","22","3.182","40.9","18.2","13.6","9.1","13.6",".","4.5",".",".",".",".",".",".",".",".","."
"","Section Total","93","3.102","30.1","16.1","19.4","17.2","12.9","3.2","1.1",".",".",".",".",".",".",".",".","."
"","301
005 352","24","2.783","16.7","12.5","33.3","12.5","12.5",".","8.3","4.2",".",".",".",".",".",".",".","."
"","301
005 353","24","3.229","33.3","8.3","33.3","20.8","4.2",".",".",".",".",".",".",".",".",".",".","."
"","301
005 351","21","3.286","42.9","9.5","28.6",".","19.0",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","69","3.096","30.4","10.1","31.9","11.6","11.6",".","2.9","1.4",".",".",".",".",".",".",".","."
"","301
006 363","24","2.848","20.8","16.7","12.5","20.8","12.5","8.3","4.2",".",".",".",".",".","4.2",".",".","."
"","301
006 361","26","2.615","11.5","11.5","19.2","34.6","15.4",".","7.7",".",".",".",".",".",".",".",".","."
