"WOMENS STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"963
WOMEN ST","","Grades","GPA","","","","","","","","","","","","","","","",""
"","101
001 303","19","3.053","10.5","36.8","36.8","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","101
001 304","14","3.346","7.1","50.0","35.7",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","101
001 302","17","3.206","11.8","52.9","11.8","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","101
001 307","20","3.475","25.0","50.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
001 305","19","3.342","15.8","47.4","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
001 301","18","3.353","11.1","50.0","27.8","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"","101
001 306","18","3.139","11.1","22.2","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Woman-Western Culture","Course Total","125","3.272","13.6","44.0","29.6","8.0","2.4",".","0.8","1.6",".",".",".",".",".",".",".","."
"","102
001 301","21","3.714","47.6","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001 302","17","3.559","35.3","47.1","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001 303","15","3.533","26.7","53.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001 305","18","3.389","22.2","50.0","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"","102
001 307","17","3.588","52.9","29.4",".","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","102
001 309","17","3.906","82.4","5.9","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Women-Soc Inst & Soc Change","Course Total","105","3.615","44.8","39.0","9.5","4.8",".","1.0",".",".",".",".",".",".","1.0",".",".","."
"","103
001 317","16","3.406","43.8","31.3","18.8",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","103
001 318","20","3.711","55.0","25.0","15.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","103
001 315","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
001 314","18","3.639","38.9","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
001 319","19","3.605","42.1","42.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","103
001 313","19","3.306","31.6","21.1","15.8","26.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","103
001 301","21","3.675","57.1","23.8","4.8","9.5",".",".",".","4.8",".",".",".",".",".",".",".","."
"","103
001 320","18","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
001 321","20","3.525","50.0","15.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","103
001 304","17","3.618","41.2","47.1","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","103
001 302","21","3.714","71.4","14.3","4.8","4.8",".","4.8",".",".",".",".",".",".",".",".",".","."
"","103
001 303","17","3.794","76.5","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","103
001 312","18","3.389","27.8","33.3","33.3",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","103
001 305","17","3.647","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
001 306","17","3.625","35.3","47.1","11.8",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","103
001 307","18","2.750","11.1","27.8","11.1","22.2","16.7","5.6","5.6",".",".",".",".",".",".",".",".","."
"","103
001 311","20","3.553","40.0","35.0","15.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","103
001 308","18","3.794","61.1","27.8","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","103
001 310","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
001 309","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","Course Total","362","3.581","47.5","31.2","12.4","4.7","1.4","0.6","0.6","1.4",".",".",".",".","0.3",".",".","."
"Race & Ethnicity-U.S. Women","223
001","35","3.771","57.1","40.0","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics - Women & Humanities","310
001","40","3.575","47.5","30.0","12.5","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","27","3.352","14.8","44.4","37.0","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","320
002","19","3.605","57.9","10.5","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","320
003","14","3.143","28.6","21.4","21.4","7.1","21.4",".",".",".",".",".",".",".",".",".",".","."
"Topics - Women & Society","Course Total","60","3.383","31.7","28.3","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Gend/Class/Race/Ethn-SocSci","331
001","33","3.439","42.4","18.2","30.3","3.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"","353
001 302","10","3.400","20.0","50.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","353
001 301","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women & Gender in US to 1870","Course Total","19","3.421","26.3","36.8","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Women in the Arts","410
001","33","3.773","72.7","12.1","12.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
