"L&S","","","","","","","","","","","","","","","","","","","","","",""
"WOMENS STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","N","NR","Other"
"963
WOMEN ST","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Black Feminisms","423
001","11","3.000","18.2","27.3","18.2","9.1","27.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Contemp Feminist Theories","441
001","38","3.803","55.3","28.9","2.6",".",".",".",".",".","",".",".","",".","",".","13.2",".",".","."
"Psychology of Women","522
001","19","2.944","5.3","10.5","63.2",".","15.8",".",".","5.3","",".",".","",".","",".",".",".",".","."
"Spec Topics-Women & Health","533
001","43","3.310","18.6","37.2","30.2","9.3","2.3",".",".",".","",".",".","",".","",".","2.3",".",".","."
"Gender and Education","560
001","25","3.458","20.0","52.0","20.0","4.0",".",".",".","4.0","",".",".","",".","",".",".",".",".","."
"Asian Amer Women Writers","595
001","5","3.400","40.0","20.0","20.0","20.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Advanced Smr in Women's St","640
001","18","3.528","50.0","16.7","22.2","11.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
017","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
018","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
019","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
022","1","",".",".",".",".",".",".",".",".","",".",".","",".","",".","100.0",".",".","."
"","699
042","4","3.125","25.0","25.0","25.0",".","25.0",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
089","1","",".",".",".",".",".",".",".",".","",".",".","",".","",".","100.0",".",".","."
"","699
121","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
124","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
126","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","Course Total","17","3.900","70.6","5.9","5.9",".","5.9",".",".",".","",".",".","",".","",".","11.8",".",".","."
"Specl Topics-Women&Society","720
001","2","3.500",".","50.0",".",".",".",".",".",".","",".",".","",".","",".","50.0",".",".","."
"963
WOMEN ST","Dept. Total","990","3.514","40.1","32.3","17.7","5.2","2.1","0.3","0.3","0.9","",".",".","",".","",".","1.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"963 WOMEN ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","168","3.539","41.7","37.5","13.1","5.4",".","0.6","1.2",".","",".",".","",".","",".","0.6",".",".","."
"Sophomore","","142","3.455","37.3","35.9","15.5","4.2","4.9","0.7","0.7","0.7","",".",".","",".","",".",".",".",".","."
"Junior","","323","3.503","39.0","31.9","19.8","6.8","1.2","0.3",".",".","",".",".","",".","",".","0.9",".",".","."
"Senior","","339","3.519","39.5","30.4","19.5","4.1","2.9",".",".","2.4","",".",".","",".","",".","1.2",".",".","."
"Undergraduates","","972","3.507","39.4","32.9","17.9","5.2","2.2","0.3","0.3","0.9","",".",".","",".","",".","0.8",".",".","."
"Graduate","","16","3.929","81.3",".","6.3",".",".",".",".",".","",".",".","",".","",".","12.5",".",".","."
"Prof Yr 1","","1","",".",".",".",".",".",".",".",".","",".",".","",".","",".","100.0",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","2","4.000","50.0",".",".",".",".",".",".",".","",".",".","",".","",".","50.0",".",".","."
"","Dept. Total","990","3.514","40.1","32.3","17.7","5.2","2.1","0.3","0.3","0.9","",".",".","",".","",".","1.1",".",".","."
