"VET","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","2458","3.287","21.8","15.2","17.7","3.8","2.6","0.4","",".","22.9","0.0",".",".","13.3","0.9",".","1.4","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","26","3.635","50.0","34.6","11.5",".",".","3.8","",".",".",".",".",".",".",".",".",".","."
"Sophomore","","14","3.700","50.0","35.7","7.1",".",".",".","",".",".","7.1",".",".",".",".",".",".","."
"Junior","","10","3.295","60.0","10.0","10.0",".","20.0",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","19","3.339","47.4","10.5","21.1","5.3","10.5","5.3","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","69","3.441","50.7","24.6","13.0","1.4","5.8","2.9","",".",".","1.4",".",".",".",".",".",".","."
"Special","","10","3.000","20.0","10.0","20.0",".","20.0",".","",".","30.0",".",".",".",".",".",".",".","."
"Graduate","","86","3.533","16.3","9.3","8.1",".",".",".","",".","44.2",".",".",".","22.1",".",".",".","."
"Prof Yr 1","","529","3.168","20.6","17.6","20.6","8.5","6.6","1.5","",".","8.3",".",".",".","15.3","0.9",".",".","."
"Prof Yr 2","","602","3.415","17.1","29.4","24.1","4.0","0.3",".","",".","0.2",".",".",".","24.1","0.8",".",".","."
"Prof Yr 3","","569","3.111","19.3","13.7","28.8","4.2","3.5","0.2","",".","15.8",".",".",".","14.2",".",".","0.2","."
"Prof Yr 4","","593","4.000","27.3",".",".",".",".",".","",".","65.1",".",".",".",".","1.9",".","5.7","."
"Professionals","","2293","3.281","21.1","15.2","18.2","4.1","2.5","0.4","",".","22.7",".",".",".","13.4","0.9",".","1.5","."
"","College Total","2458","3.287","21.8","15.2","17.7","3.8","2.6","0.4","",".","22.9","0.0",".",".","13.3","0.9",".","1.4","."
