"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"600
MATH","","Grades","GPA","","","","","","","","","","","","","","","",""
"Tech-Ordinary Diff Equation","Course Total","164","2.752","15.9","16.5","19.5","17.1","18.3","7.3","4.9",".",".",".",".",".",".",".","0.6","."
"","320
001","31","2.855","19.4","22.6","12.9","12.9","19.4","9.7","3.2",".",".",".",".",".",".",".",".","."
"","320
002","34","2.742","11.8","14.7","23.5","29.4","2.9","8.8","5.9",".",".",".",".",".","2.9",".",".","."
"","320
003","34","2.632","23.5","8.8","14.7","23.5","2.9","14.7","11.8",".",".",".",".",".",".",".",".","."
"","320
004","37","2.838","27.0","2.7","27.0","18.9","16.2","2.7","5.4",".",".",".",".",".",".",".",".","."
"","320
005","27","2.833","18.5","11.1","25.9","7.4","25.9","11.1",".",".",".",".",".",".",".",".",".","."
"","320
006","34","2.324","8.8","2.9","8.8","26.5","32.4","14.7","5.9",".",".",".",".",".",".",".",".","."
"","320
007","31","3.145","35.5","9.7","29.0",".","19.4","6.5",".",".",".",".",".",".",".",".",".","."
"Linear Alg & Diff Equations","Course Total","228","2.760","20.6","10.1","20.2","17.5","16.7","9.6","4.8",".",".",".",".",".","0.4",".",".","."
"Appl Mathematical Analysis","321
001","13","2.231","15.4",".","7.7",".","53.8","15.4","7.7",".",".",".",".",".",".",".",".","."
"Appl Mathematical Analysis","322
001","14","3.071","35.7","21.4","14.3","7.1","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"","340
001","27","2.222","18.5","3.7","22.2","3.7","14.8","14.8","22.2",".",".",".",".",".",".",".",".","."
"","340
002","30","3.172","16.7","16.7","50.0","10.0","3.3",".",".","3.3",".",".",".",".",".",".",".","."
"","340
003","16","2.906","12.5","12.5","37.5","18.8","6.3","12.5",".",".",".",".",".",".",".",".",".","."
"","340
004","32","2.581","31.3",".","15.6","6.3","25.0","6.3","12.5",".",".",".",".",".",".",".",".","3.1"
"","340
005","24","3.477","50.0","12.5","16.7",".","12.5",".",".","4.2",".",".",".",".",".",".","4.2","."
"","340
006","14","2.643","21.4",".","35.7",".","21.4","14.3","7.1",".",".",".",".",".",".",".",".","."
"","340
007","29","2.638","10.3","6.9","27.6","10.3","34.5","10.3",".",".",".",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","Course Total","172","2.789","23.3","7.6","28.5","7.0","17.4","7.6","6.4","1.2",".",".",".",".",".",".","0.6","0.6"
"","375
001 302","13","3.654","69.2","15.4",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","375
001 301","12","3.625","66.7","8.3","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"Multi-Var Calc & Linear Alg","Course Total","25","3.640","68.0","12.0","8.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Appl Dyn Sys, Chaos&Modelng","415
001","15","2.964","13.3","26.7","13.3","20.0","20.0",".",".","6.7",".",".",".",".",".",".",".","."
"","431
001","30","2.967","20.0","20.0","23.3","6.7","30.0",".",".",".",".",".",".",".",".",".",".","."
"","431
003","34","2.922","14.7","17.6","23.5","14.7","17.6","5.9",".",".",".",".",".",".","5.9",".",".","."
"Intro-Theory of Probability","Course Total","64","2.944","17.2","18.8","23.4","10.9","23.4","3.1",".",".",".",".",".",".","3.1",".",".","."
"Intro to Modern Algebra","441
001","24","3.313","33.3","12.5","41.7","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"Applied Linear Algebra","443
001","19","3.389","31.6","36.8","10.5","5.3","5.3","5.3",".","5.3",".",".",".",".",".",".",".","."
"College Geometry I","461
001","41","3.179","43.9","14.6","7.3","9.8","9.8","4.9","4.9","2.4",".",".",".",".",".",".",".","2.4"
"History of Mathematics","473
001","34","3.544","50.0","26.5","14.7",".","5.9","2.9",".",".",".",".",".",".",".",".",".","."
"","475
001","28","3.286","35.7","17.9","21.4","17.9","7.1",".",".",".",".",".",".",".",".",".",".","."
"","475
002","12","3.250","41.7",".","41.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","40","3.275","37.5","12.5","27.5","12.5","10.0",".",".",".",".",".",".",".",".",".",".","."
"","521
001","13","2.769","15.4","7.7","23.1","23.1","30.8",".",".",".",".",".",".",".",".",".",".","."
"","521
002","21","3.071","19.0","23.8","23.8","19.0","14.3",".",".",".",".",".",".",".",".",".",".","."
"","521
003","18","3.167","44.4",".","27.8",".","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"","521
004","11","3.050","27.3","9.1","27.3",".","27.3",".",".",".",".",".",".",".","9.1",".",".","."
"Advanced Calculus","Course Total","63","3.032","27.0","11.1","25.4","11.1","22.2","1.6",".",".",".",".",".",".","1.6",".",".","."
