"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","N","NR","Other"
"932
STAT","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","Dept. Total","1832","3.299","36.1","18.9","22.1","9.7","7.5","1.3","1.3","2.1","",".",".","",".","0.4","0.3","0.1","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","15","3.067","26.7","13.3","20.0","26.7","6.7","6.7",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","350","3.172","30.3","20.0","22.9","14.6","9.4","1.1","1.7",".","",".",".","",".",".",".",".",".","."
"Junior","","497","3.180","32.8","14.9","24.5","14.3","10.1","1.8","1.2",".","",".",".","",".",".","0.2","0.2",".","."
"Senior","","379","3.186","34.8","16.6","20.6","9.8","11.9","2.1","2.6","0.5","",".",".","",".",".","0.8",".","0.3","."
"Undergraduates","","1241","3.179","32.6","16.8","22.8","13.1","10.4","1.8","1.8","0.2","",".",".","",".",".","0.3","0.1","0.1","."
"Special","","43","3.233","27.9","9.3","27.9","11.6","7.0",".",".","7.0","",".",".","",".",".","2.3",".","7.0","."
"Graduate","","427","3.616","45.4","24.4","18.3","0.9","0.5",".","0.2","8.0","",".",".","",".","1.9","0.2",".","0.2","."
"Prof Yr 1","","121","3.475","41.3","24.8","25.6","4.1","2.5","1.7",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","121","3.475","41.3","24.8","25.6","4.1","2.5","1.7",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1832","3.299","36.1","18.9","22.1","9.7","7.5","1.3","1.3","2.1","",".",".","",".","0.4","0.3","0.1","0.3","."
