"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"350
ENGLISH","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"Modern British & Amer Drama","506
001","","42","3.236","19.0","40.5","26.2","7.1","","4.8","",".","","2.4",".",".",".",".",".",".",".",".","."
"Recent Poetry in English","512
009","","36","3.371","27.8","27.8","33.3","5.6","","2.8","",".","",".",".",".",".",".",".","2.8",".",".","."
"Mod British or Am Lit-Bkgrd","513
008","","22","2.795","9.1","40.9","22.7","9.1","","4.5","",".","","13.6",".",".",".",".",".",".",".",".","."
"Modern Critical Theories","553
001","","33","3.303","27.3","30.3","27.3","6.1","","6.1","","3.0","",".",".",".",".",".",".",".",".",".","."
"Studies in Narrative Lit","563
001","","25","3.250","36.0","4.0","36.0","12.0","","8.0","",".","",".",".",".",".",".",".",".","4.0",".","."
"Women's Traditions in Novel","570
001","","32","3.339","28.1","31.3","31.3","3.1","",".","",".","","3.1",".",".",".",".",".","3.1",".",".","."
"","591
001","","36","3.750","55.6","38.9","5.6",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","591
002","","34","3.394","14.7","47.1","35.3",".","",".","",".","",".",".",".",".",".",".","2.9",".",".","."
"Topic-Ethnic&Multicultr Lit","Course Total","","70","3.580","35.7","42.9","20.0",".","",".","",".","",".",".",".",".",".",".","1.4",".",".","."
"Asian Amer Women Writers","595
001","","22","3.477","40.9","18.2","36.4","4.5","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Major American Novelists","609
001","","31","3.250","25.8","29.0","25.8","12.9","",".","",".","","3.2","3.2",".",".",".",".",".",".",".","."
"Major American Poets","613
001","","35","3.279","31.4","11.4","40.0","8.6","","5.7","",".","",".",".",".",".",".",".","2.9",".",".","."
"3 Amer Authors Before 1865","621
001","","33","3.328","33.3","9.1","45.5","6.1","","3.0","",".","",".","3.0",".",".",".",".",".",".",".","."
"Theme in 19th C Amer Lit","626
001","","29","3.876","72.4","24.1",".",".","",".","",".","",".",".",".",".",".",".","3.4",".",".","."
