"ALS","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (C A L S)","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"494
INTER-AG","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"","150
001 312","1","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","150
001 311","6","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","150
001 310","1","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","150
001 309","1","",".",".",".",".","",".","",".","",".",".",".",".","100.0",".",".",".",".","."
"","150
001 308","1","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","150
001 305","3","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","150
001 304","9","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","150
001 303","2","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","150
001 302","1","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","150
001 301","2","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Ways of Knowing","Course Total","27","",".",".",".",".","",".","",".","",".",".",".","96.3","3.7",".",".",".",".","."
"Issues in Ag, Envir & Life Sci","155
001","60","3.908","86.7","10.0","1.7","1.7","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","250
001 301","16","4.000","87.5",".",".",".","",".","",".","",".",".",".",".",".",".","6.3",".","6.3","."
"Intro to Undergrad Research","288
001","11","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
001","12","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"CALS Honor Interdis Jr Seminar","388
001","13","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Engaged Learning-Comm Service","393
001","12","",".",".",".",".","",".","",".","",".",".",".","75.0",".",".",".",".",".","."
"494
INTER-AG","Dept. Total","151","3.954","59.6","4.0","0.7","0.7","",".","",".","",".",".",".","23.2","0.7",".","8.6",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","94","3.963","63.8","4.3","1.1",".","",".","",".","",".",".",".","27.7","1.1",".","1.1",".","1.1","."
"Sophomore","","14","3.861","71.4","14.3",".","7.1","",".","",".","",".",".",".","7.1",".",".",".",".",".","."
"Junior","","24","4.000","58.3",".",".",".","",".","",".","",".",".",".","16.7",".",".","12.5",".",".","."
"Senior","","18","4.000","33.3",".",".",".","",".","",".","",".",".",".","22.2",".",".","44.4",".",".","."
"Undergraduates","","150","3.954","60.0","4.0","0.7","0.7","",".","",".","",".",".",".","23.3","0.7",".","8.0",".","0.7","."
"Graduate","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","Dept. Total","151","3.954","59.6","4.0","0.7","0.7","",".","",".","",".",".",".","23.2","0.7",".","8.6",".","0.7","."
