"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","N","NR","Other"
"660
MUSIC","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"","221
002 304","","13","3.417","30.8","15.4","46.2",".",".",".","",".",".",".",".",".",".","7.7",".",".","."
"","221
002 303","","15","3.533","40.0","33.3","20.0","6.7",".",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","","28","3.481","35.7","25.0","32.1","3.6",".",".","",".",".",".",".",".",".","3.6",".",".","."
"Musica Practica 3","Course Total","","48","3.534","39.6","25.0","20.8","6.3",".",".","",".",".",".",".",".",".","8.3",".",".","."
"","253
001","","8","3.750","62.5","25.0","12.5",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","253
002","","9","3.944","88.9","11.1",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","","17","3.853","76.5","17.6","5.9",".",".",".","",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","","7","3.857","71.4","28.6",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","262
001","","8","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","262
002","","14","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","22","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","264
001","","29","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","264
002","","10","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","39","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","265
001","","5","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","265
005","","4","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","9","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","","5","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","267
001","","4","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","267
002","","3","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","267
003","","10","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","267
004","","10","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","267
005","","5","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","267
006","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","","34","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","268
001","","8","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","268
002","","7","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","","15","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","269
001","","20","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","269
005","","4","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Ensemble-String","Course Total","","24","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","","8","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","271
101","","12","3.455","33.3","25.0","25.0","8.3",".",".","",".",".",".",".",".",".","8.3",".",".","."
"","271
102","","9","3.222","33.3","22.2","22.2",".",".","22.2","",".",".",".",".",".",".",".",".",".","."
"","271
103","","15","3.400","26.7","46.7","13.3","6.7","6.7",".","",".",".",".",".",".",".",".",".",".","."
"","271
104","","12","3.417","16.7","58.3","16.7","8.3",".",".","",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","","48","3.383","27.1","39.6","18.8","6.3","2.1","4.2","",".",".",".",".",".",".","2.1",".",".","."
"Contemp Chamber Ensemble","273
001","","6","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Black Mus(1920-Pres)-Trumpt","310
001","","47","3.511","46.8","23.4","17.0","4.3","6.4",".","",".","2.1",".",".",".",".",".",".",".","."
"Jazz Improvisation","331
001","","16","3.969","93.8","6.3",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","340
001","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","340
003","","7","4.000","71.4",".",".",".",".",".","",".",".",".",".",".",".","28.6",".",".","."
"Pedagogy","Course Total","","8","4.000","75.0",".",".",".",".",".","",".",".",".",".",".",".","25.0",".",".","."
"Practicum-String Pedagogy","345
001","","4","3.750","50.0","50.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","361
003","","4","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","Page 291 of 441",""
