"ASTRONOMY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"188
ASTRON","","Grades","GPA","","","","","","","","","","","","","","","",""
"","100
001 301","23","2.841","26.1","8.7","21.7","4.3","26.1","4.3","4.3","4.3",".",".",".",".",".",".",".","."
"","100
001 302","24","2.708","16.7","12.5","12.5","12.5","25.0","20.8",".",".",".",".",".",".",".",".",".","."
"","100
001 303","24","3.065","20.8","25.0","29.2","4.2","12.5",".","4.2",".",".",".",".",".",".",".",".","4.2"
"","100
001 304","24","2.583","16.7","4.2","25.0","20.8","20.8","4.2","8.3",".",".",".",".",".",".",".",".","."
"","100
001 305","25","2.840","20.0","12.0","36.0","12.0","4.0","8.0","8.0",".",".",".",".",".",".",".",".","."
"","100
001 306","24","3.125","25.0","29.2","20.8","12.5","4.2","4.2","4.2",".",".",".",".",".",".",".",".","."
"Survey of Astronomy","Course Total","144","2.859","20.8","15.3","24.3","11.1","15.3","6.9","4.9","0.7",".",".",".",".",".",".",".","0.7"
"","103
001 401","23","2.652",".",".","69.6","8.7","13.0","4.3","4.3",".",".",".",".",".",".",".",".","."
"","103
001 403","22","2.705","4.5","9.1","40.9","13.6","27.3","4.5",".",".",".",".",".",".",".",".",".","."
"","103
001 405","25","2.920","16.0","4.0","60.0","4.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","103
001 406","26","3.000","23.1","3.8","53.8","3.8","11.5",".","3.8",".",".",".",".",".",".",".",".","."
"","103
001 402","22","2.727","9.1",".","45.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".","."
"","103
001 404","19","2.947","10.5",".","68.4","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","137","2.828","10.9","2.9","56.2","9.5","16.1","2.2","2.2",".",".",".",".",".",".",".",".","."
"","103
002 412","22","2.636","13.6",".","50.0","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".","."
"","103
002 408","21","3.000","19.0",".","52.4","19.0","9.5",".",".",".",".",".",".",".",".",".",".","."
"","103
002 411","23","2.870","13.0","4.3","52.2","4.3","21.7","4.3",".",".",".",".",".",".",".",".",".","."
"","103
002 410","21","2.524","4.8",".","47.6","9.5","19.0","14.3","4.8",".",".",".",".",".",".",".",".","."
"","103
002 407","23","2.932","17.4",".","52.2","4.3","21.7",".",".","4.3",".",".",".",".",".",".",".","."
"","103
002 409","25","2.740","4.0","4.0","56.0","8.0","28.0",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","135","2.784","11.9","1.5","51.9","8.9","20.0","3.0","2.2","0.7",".",".",".",".",".",".",".","."
"","103
003","42","2.549","9.5","11.9","26.2",".","38.1","7.1","4.8","2.4",".",".",".",".",".",".",".","."
"The Evolving Universe","Course Total","314","2.772","11.1","3.5","50.3","8.0","20.7","3.2","2.5","0.6",".",".",".",".",".",".",".","."
"","113
001","23","3.304","47.8","4.3","26.1","4.3","17.4",".",".",".",".",".",".",".",".",".",".","."
"","113
002","22","3.182","27.3","18.2","45.5",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","113
003","18","3.194","27.8","11.1","38.9","16.7",".","5.6",".",".",".",".",".",".",".",".",".","."
"","113
004","19","3.579","63.2",".","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","113
005","21","3.405","57.1","4.8","28.6",".",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"","113
006","19","3.553","52.6","5.3","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hands on the Universe","Course Total","122","3.365","45.9","7.4","35.2","3.3","4.9","1.6","1.6",".",".",".",".",".",".",".",".","."
"Life in the Universe","160
001","86","3.000","18.6","15.1","38.4","3.5","4.7","9.3","3.5","3.5","1.2",".",".",".","1.2",".","1.2","."
"Stellar Astrophysics","310
001","20","2.575","15.0","15.0","25.0",".","20.0","15.0","10.0",".",".",".",".",".",".",".",".","."
"Solar System Astrophysics","340
001","23","2.864","13.0","13.0","30.4","13.0","17.4","8.7",".",".",".",".",".",".",".",".","4.3","."
"","681
004","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
018","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Honors Thesis","Course Total","2","3.500",".","50.0",".",".",".",".",".",".",".",".",".","50.0",".",".",".","."
"Senior Honors Thesis","682
11","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
016","3","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","699
018","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","5","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Basic Astrophysics","700
001","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Observational Cosmology","735
001","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Astrophysics","910
004","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Smnar-Astrophysical Topics","920
001","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
010","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
011","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 170 of 441",""
