"L&S","","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","N","NR","Other"
"778
POLI SCI","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"","999
031","1","",".",".",".",".",".",".",".",".","",".",".","",".",".","100.0",".",".","."
"","999
042","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","999
099","1","",".",".",".",".",".",".",".",".","",".",".","",".",".","100.0",".",".","."
"Independent Work","Course Total","7","4.000","71.4",".",".",".",".",".",".",".","",".",".","",".",".","28.6",".",".","."
"778
POLI SCI","Dept. Total","4108","3.148","21.3","25.8","25.7","12.0","7.8","1.9","1.1","0.6","",".","0.2","",".","1.1","1.5","0.3","0.1","0.6"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","585","3.000","15.9","23.1","26.0","16.1","11.6","3.6","1.4",".","",".","0.2","",".",".","0.7",".",".","1.5"
"Sophomore","","933","2.964","16.2","20.6","26.5","15.5","13.3","3.5","1.7","0.2","",".","0.2","",".",".","0.8","0.5",".","1.0"
"Junior","","1119","3.175","18.4","28.5","31.0","11.5","5.5","1.1","1.1","0.2","",".","0.2","",".",".","1.7","0.3","0.2","0.4"
"Senior","","1222","3.273","25.5","29.1","24.2","9.7","5.6","0.8","0.7","0.8","",".","0.4","",".","0.7","1.8","0.4",".","0.1"
"Undergraduates","","3859","3.127","19.7","26.0","27.0","12.6","8.3","2.0","1.2","0.4","",".","0.3","",".","0.2","1.3","0.3","0.1","0.6"
"Special","","28","3.290","28.6","17.9","21.4","14.3",".","3.6",".","3.6","",".",".","",".",".","7.1",".","3.6","."
"Graduate","","220","3.786","48.2","24.1","2.7","0.9",".",".",".","3.6","",".",".","",".","16.8","2.7",".","0.9","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","4108","3.148","21.3","25.8","25.7","12.0","7.8","1.9","1.1","0.6","",".","0.2","",".","1.1","1.5","0.3","0.1","0.6"
