"ANIMAL HEALTH & BIOMEDICAL Section","#","","Ave","A","","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","","N","NR","Other"
"952
AHABS","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"Topics & Careers in Vet Sci
150
001","","40","3.675","","52.5","35.0","","10.0",".","",".","","2.5","",".",".","",".",".","",".",".","",".",".",".","."
"Independent Study
299
061","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Physiol-Domestic&Lab Animal
301
001 302","","2","3.750","","50.0","50.0","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Medical Entomology
371
001 301","","2","2.750","",".","50.0","",".",".","","50.0","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Immunology
528
001","","15","3.071","","20.0","6.7","","46.7","6.7","","6.7","","6.7","",".",".","","6.7",".","",".",".","",".",".",".","."
"Immunology Laboratory
529
001 301","","1","3.500","",".","100.0","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Diseases of Wildlife
548
001","","15","3.233","","40.0","6.7","","33.3",".","","20.0","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Colloquium in Env Tox
606
001","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Toxicology I
625
001 301","","1","2.000","",".",".","",".",".","100.0","","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special Problems
699
016","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Mech Microbial Pathogenesis
740
001","","2","3.250","",".","50.0","","50.0",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"875
001","","2","4.000","","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"875
002","","2","4.000","","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
