"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"200
BIOCHEM","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"","691
046","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","691
053","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","691
057","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","691
061","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","691
062","","1","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","691
069","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","9","4.000","33.3",".","",".",".","",".","",".","",".",".",".",".",".","66.7",".",".",".","."
"","692
041","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","692
063","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
010","","2","3.900","50.0","50.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
018","","5","4.000","80.0",".","",".",".","",".","",".","",".",".",".",".",".",".","20.0",".",".","."
"","699
039","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
046","","4","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
049","","1","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
051","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
053","","3","3.500",".","100.0","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
059","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
060","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
069","","3","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","22","3.885","72.7","22.7","",".",".","",".","",".","",".",".",".",".",".",".","4.5",".",".","."
"Sequence Analysis","711
001","","25","3.540","36.0","36.0","","28.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
