"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"168
ART","","Grades","","GPA","","","","","","","","","","","","","","","",""
"","224
003","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","","54","3.648","59.3","22.2","16.7",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229
001","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
001","","13","3.615","23.1","76.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
002","","8","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
003","","12","3.458","41.7","25.0","25.0",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","232
004","","12","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing I","Course Total","","45","3.533","28.9","53.3","15.6",".",".","2.2",".",".",".",".",".",".",".",".",".","."
"Watercolor I","242
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001","","19","2.971","15.8","10.5","47.4","5.3","5.3",".","5.3",".",".",".",".",".","10.5",".",".","."
"","244
002","","16","2.867","18.8","37.5","6.3","12.5",".","6.3","12.5",".",".",".",".",".","6.3",".",".","."
"","244
003","","15","2.964","26.7","26.7","20.0","6.7",".",".","13.3",".",".",".",".",".","6.7",".",".","."
"Art Metal I","Course Total","","50","2.935","20.0","24.0","26.0","8.0","2.0","2.0","10.0",".",".",".",".",".","8.0",".",".","."
"","246
001","","17","3.500","29.4","52.9","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","246
002","","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lettering","Course Total","","33","3.636","42.4","48.5","6.1",".",".","3.0",".",".",".",".",".",".",".",".",".","."
"","302
001","","22","3.476","45.5","27.3","18.2",".",".",".","4.5",".",".",".",".",".","4.5",".",".","."
"","302
003","","19","3.421","42.1","10.5","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Color","Course Total","","41","3.450","43.9","19.5","26.8","4.9",".",".","2.4",".",".",".",".",".","2.4",".",".","."
"Relief Printmaking","306
001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","25","3.700","52.0","36.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lithography","316
001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonstatic Forms","318
001","","11","3.700","36.4","54.5",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Intermediate Painting I","322
001","","10","3.300","10.0","40.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","324
001","","18","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Etching","326
001","","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","328
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","328
002","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","Course Total","","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
001","","5","3.600","20.0","80.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","","4","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
003","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
004","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","22","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","334
001","","13","3.538","15.4","76.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","4","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Metal II","344
001","","8","3.786","50.0","37.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","346
001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
002","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Typography & Communicatn","Course Total","","22","3.950","86.4",".","4.5",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Glassworking","354
001","","18","3.539","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","Page 73 of 441",""
