"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"194
RP & SE","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"","300
001 301","93","3.654","51.6","32.3","6.5","7.5","",".","",".","",".",".",".",".",".",".","2.2",".",".","."
"","300
002 302","74","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","300
020 320","18","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","185","3.828","75.7","16.2","3.2","3.8","",".","",".","",".",".",".",".",".",".","1.1",".",".","."
"Behav Anal:Person-Disabilty","330
001","25","3.640","48.0","36.0","12.0","4.0","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Acad Instr:Learn & Behav Disab","469
001","27","3.833","74.1","22.2",".","3.7","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Indiv/Learn & Behav Disability","470
001","34","3.971","94.1","5.9",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","471
001","11","3.500","27.3","54.5","9.1","9.1","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","471
002","11","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","471
003","10","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Meth&Curric:Lrn&Bhv Disabl,K-9","Course Total","32","3.828","75.0","18.8","3.1","3.1","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","472
001","7","3.429","14.3","57.1","28.6",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","472
002","5","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Mth&Curric:Lrn&Bhv Dis, 6-12","Course Total","12","3.667","50.0","33.3","16.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Mgmt: Stdts/Lrn&Bhv Disability","473
001","9","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","475
001","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","475
002","6","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","475
003","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","Course Total","13","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","477
001","6","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","477
002","5","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","477
003","6","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","17","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Foundatn","500
001","26","3.500","42.3","23.1","23.1","3.8","",".","","3.8","",".",".",".",".",".",".","3.8",".",".","."
"Rehab-Cnslg Psych: Applcatn","501
001","8","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","505
001","45","3.878","84.4","11.1","2.2",".","","2.2","",".","",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","506
001 301 6","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Assessmnt Adults-Disablties","540
001","14","3.393","7.1","64.3","28.6",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Rehab Psych-Psycho-Soc Asp","560
001","14","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","630
004","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","630
018","19","3.929","84.2","15.8",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","21","3.935","85.7","14.3",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631
001","10","3.900","80.0","20.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special Topics","660
009","7","3.286",".","57.1","42.9",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","690
006","2","",".",".",".",".","",".","",".","",".","50.0",".",".",".","50.0",".",".",".","."
"","690
015","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","690
017","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","690
018","5","",".",".",".",".","",".","",".","",".","60.0",".",".",".","40.0",".",".",".","."
"Research or Thesis","Course Total","10","",".",".",".",".","",".","",".","",".","70.0",".",".",".","30.0",".",".",".","."
"","699
004","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
005","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
013","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
015","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
018","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","6","3.909","83.3",".","16.7",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
