"L&S","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","N","NR","Other"
"500
ILS","","Grades","GPA","","","","","","","","","","","","","","","","",""
"","209
001 303","20","2.800","15.0","10.0","25.0","20.0","30.0",".",".",".",".",".",".",".","",".",".",".","."
"","209
001 302","19","3.026","10.5","26.3","42.1",".","10.5","10.5",".",".",".",".",".",".","",".",".",".","."
"","209
001 301","24","2.979","25.0","4.2","37.5","8.3","16.7","8.3",".",".",".",".",".",".","",".",".",".","."
"","209
001 305","21","3.024","33.3","9.5","9.5","23.8","23.8",".",".",".",".",".",".",".","",".",".",".","."
"","209
001 306","18","3.083","33.3","5.6","22.2","22.2","16.7",".",".",".",".",".",".",".","",".",".",".","."
"","209
001 307","20","2.950","15.0","30.0","5.0","30.0","20.0",".",".",".",".",".",".",".","",".",".",".","."
"","209
001 304","20","3.025","10.0","25.0","35.0","20.0","10.0",".",".",".",".",".",".",".","",".",".",".","."
"","209
001 308","21","3.167","33.3","14.3","19.0","19.0","14.3",".",".",".",".",".",".",".","",".",".",".","."
"","209
001 309","21","2.833","19.0","14.3","38.1","9.5","9.5",".","9.5",".",".",".",".",".","",".",".",".","."
"","209
001 310","17","2.688",".","23.5","23.5","11.8","29.4","5.9",".","5.9",".",".",".",".","",".",".",".","."
"","209
001 311","18","3.167","33.3","5.6","33.3","16.7","11.1",".",".",".",".",".",".",".","",".",".",".","."
"","209
001 312","20","3.050","25.0","5.0","40.0","15.0","15.0",".",".",".",".",".",".",".","",".",".",".","."
"","209
001 313","21","3.238","33.3","14.3","28.6","14.3","9.5",".",".",".",".",".",".",".","",".",".",".","."
"Intro to Global Cultures","Course Total","260","3.006","22.3","14.2","27.7","16.2","16.5","1.9","0.8","0.4",".",".",".",".","",".",".",".","."
"Heroes, Rogues & Scoundrels","237
001","3","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Contemporary Phy Sciences","251
001","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Contemporary Life Sciences","252
001","249","2.948","22.5","8.4","36.9","6.0","21.7","2.4","1.6","0.4",".",".",".",".","",".",".",".","."
"Capstone Integration Seminar","400
002","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","490
013","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","490
076","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","490
085","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Rsch-Integrated LiberalStudies","Course Total","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"500
ILS","Dept. Total","1932","3.286","25.5","17.6","20.1","6.2","6.5","1.1","0.5","0.2",".","21.1",".",".","","0.1","0.2",".","0.9"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","907","3.257","19.6","14.2","18.4","5.7","4.7","0.3","0.8",".",".","35.1",".",".","","0.1",".",".","1.0"
"Sophomore","","559","3.285","25.8","24.0","20.6","6.6","8.2","1.3","0.2",".",".","12.0",".",".","","0.2",".",".","1.3"
"Junior","","251","3.300","34.7","16.7","23.9","8.4","8.8","1.2","0.4","0.8",".","4.0",".",".","",".","0.4",".","0.8"
"Senior","","205","3.355","40.5","17.1","22.9","4.4","7.3","3.9","0.5","0.5",".","2.4",".",".","",".","0.5",".","."
"Undergraduates","","1922","3.286","25.6","17.7","20.2","6.2","6.6","1.1","0.5","0.2",".","20.8",".",".","","0.1","0.1",".","0.9"
"Special","","10","",".",".",".",".",".",".",".","10.0",".","70.0",".",".","",".","20.0",".","."
"","Dept. Total","1932","3.286","25.5","17.6","20.1","6.2","6.5","1.1","0.5","0.2",".","21.1",".",".","","0.1","0.2",".","0.9"
