"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","N","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"335","001 304 6","","4","3.167","25.0",".","25.0","25.0",".",".",".","",".","",".",".","",".","",".","25.0",".",".","."
"335","001 305 6","","1","2.000",".",".",".",".",".","100.0",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 304 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 304 6","","1","2.500",".",".",".","100.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 305 6","","3","2.667",".",".","66.7",".","33.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 305 6","","3","3.333","66.7",".",".",".","33.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 305 6","","2","2.000",".",".",".",".","50.0","50.0",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 305 6","","1","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 305 6","","8","2.875","37.5",".","12.5",".","37.5","12.5",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 305 6","","3","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 305 6","","1","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 304 6","","2","0.000",".",".",".",".",".",".","100.0","",".","",".",".","",".","",".",".",".",".","."
"335","001 303 6","","2","3.500","50.0",".","50.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 303 6","","1","3.500",".","100.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 303 6","","1","",".",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","100.0","."
"335","001 303 6","","2","2.000",".",".",".",".","50.0","50.0",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 303 6","","3","3.333","33.3",".","66.7",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 303 6","","11","3.045","27.3","9.1","36.4",".","9.1","18.2",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 303 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 303 6","","2","2.000",".",".",".",".","50.0","50.0",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 304 6","","10","2.800","10.0",".","60.0",".","30.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 303 6","","4","2.500",".",".","50.0",".","50.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 306 6","","2","3.000","50.0",".",".",".",".","50.0",".","",".","",".",".","",".","",".",".",".",".","."
