"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","","",""
"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"207
B M E","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"Cooperative Education Program","1
001","","5","4.000","80.0",".",".",".",".","",".",".",".",".",".",".",".","20.0",".",".","."
"Biomedical Engr Design","200
001","","28","3.518","35.7","35.7","25.0","3.6",".","",".",".",".",".",".",".",".",".",".",".","."
"Biomed Engineering Design","300
001","","34","3.809","64.7","32.4","2.9",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","315
001 305","","10","3.650","60.0","20.0","10.0","10.0",".","",".",".",".",".",".",".",".",".",".",".","."
"","315
001 301","","7","3.643","71.4","14.3",".",".","14.3","",".",".",".",".",".",".",".",".",".",".","."
"","315
001 304","","9","3.556","33.3","44.4","22.2",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","315
001 302","","9","3.667","44.4","44.4","11.1",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","315
001 303","","8","3.500","37.5","37.5","12.5","12.5",".","",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics","Course Total","","43","3.605","48.8","32.6","11.6","4.7","2.3","",".",".",".",".",".",".",".",".",".",".","."
"","320
001 301","","2","1.500",".",".","50.0",".",".","",".","50.0",".",".",".",".",".",".",".",".","."
"","320
001 302","","4","3.500","50.0",".","50.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","Course Total","","6","2.833","33.3",".","50.0",".",".","",".","16.7",".",".",".",".",".",".",".",".","."
"","389
036","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","389
044","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","Course Total","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","399
027","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","399
036","","3","4.000","66.7",".",".",".",".","",".",".",".",".",".",".",".","33.3",".",".","."
"","399
038","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","4.000","80.0",".",".",".",".","",".",".",".",".",".",".",".","20.0",".",".","."
"Capstone Design Course","400
001","","41","3.500","24.4","48.8","24.4",".",".","",".",".",".",".",".",".",".","2.4",".",".","."
"","462
001 301","","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","462
001 302","","4","3.500","50.0",".","50.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation","Course Total","","6","3.667","66.7",".","33.3",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","463
001 301","","6","3.500","33.3","50.0",".","16.7",".","",".",".",".",".",".",".",".",".",".",".","."
"","463
001 302","","5","3.500","40.0","20.0","40.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Computers in Medicine","Course Total","","11","3.500","36.4","36.4","18.2","9.1",".","",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","489
039","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Radiolgcal Physcs&Dosimetry","501
002","","2","3.250",".","50.0","50.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Biomedical Optics","547
001","","13","3.538","30.8","46.2","23.1",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560
001","","2","3.250","50.0",".",".","50.0",".","",".",".",".",".",".",".",".",".",".",".","."
"Ergonomcs-Manufact&Industry","564
001","","3","3.833","66.7","33.3",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Physics-Diagnostic Radiol","567
001 301","","2","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","601
003","","16","3.571","37.5","31.3","12.5","6.3",".","",".",".",".",".",".",".",".","12.5",".",".","."
"","699
020","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
025","","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","699
027","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
028","","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","699
029","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
038","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","6","4.000","66.7",".",".",".",".","",".",".",".",".",".",".","33.3",".",".",".","."
"Seminar-Biomedical Engineering","701
001","","32","#Num!","93.8",".",".",".",".","",".",".",".",".",".",".",".","6.3",".",".","."
"","790
020","","1","",".",".",".",".",".","",".",".","100.0",".",".",".",".",".",".",".","."
"","790
023","","1","",".",".",".",".",".","",".",".","100.0",".",".",".",".",".",".",".","."
"","790
027","","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","790
028","","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","790
029","","1","",".",".",".",".",".","",".",".","100.0",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","Page 105 of 441",""
